ampholyte,उभयधर्मी विद्युतअपघट्य,,,
amphoteric electrolyte,उभयधर्मी विद्युत् अपघट्य,,,
amphoteric ion,उभयावेशी आयन,,,
amplification,प्रवर्धन,,,
amplitude,1. कोणांक 2. आयाम,,,
amplitude resonance,आयाम अनुनाद,,,
amylolysis,ऐमिलापघटन,,,
ana position,एना स्थिति,,,
anaerobe,1. अवायुजीव 2. अवायवीजीव,,,
anaerobiosis,"अवायवीय जीविता,अवायवीय जीवन",,,
analgesic,पीड़आहारी,,,
analog (analogue),अनुरूप,,,
analogous,"सदृश,अनुरूप",,,
analysis,विश्लेषण,,,
analytical chemistry,वैश्लेषिक रसायन,,,
anaphoresis,ऋणकण संचलन,,,
anaphylactic reaction,तीव्रग्राही अभिक्रिया,,,
anaxial,अनक्षीय,,,
anelasticity,विषमप्रत्यास्थता,,,
angle of diffraction,विवर्तन कोण,,,
angular acceleration,कोणीय त्वरण,,,
angular dissymmetry,कोणीय विसममिति,,,
anharmonicity,"अप्रसंवादिता,अहार्मोनिकता",,,
anhydrous,निर्जल,,,
anhysteresis,अशैथिल्य,,,
aniline dye,ऐनिलीन रंजक,,,
animal black,प्राणि कार्बन,,,
anion,ऋणायन,,,
anionic surfactant,ऋणायनी पृष्ठसक्रियक,,,
anisodesmic,असमाबंध,,,
anisometry,असमत्रिलंबाक्षमिति,,,
anisotropy,विषमदैशिकता,,,
annealing,अनीलन,,,
annular,वलयाकार,,,
anode,ऐनोड,,,
anode mud,ऐनोड पंक,,,
anodic reaction,ऐनोडी अभिक्रिया,,,
anomalous,असंगत,,,
anomerization,ऐनोमरीकरण,,,
anoxia,अनॉक्सिता,,,
ant acid (anti acid),प्रति अम्ल,,,
antagonism,विरोध,,,
antenna reactance,ऐन्टेना प्रतिघात,,,
anthracene,ऐन्थेसीन,,,
antiager,प्रति कालप्रभावक,,,
antibiotic,"प्रतिजैविक,ऐन्टिबायोटिक",,,
antibiotics,"प्रतिजैविकी,ऐन्टिबायोटिक्स",,,
antibonding electron pair,प्रतिआबंधन इलेक्ट्रॉन युगल,,,
anticatalyst,प्रतिउत्प्रेरक,,,
anticlockwise,वामावर्त,,,
anticoagulation,प्रतिस्कंदन,,,
anticonformation,प्रतिसंरूपण,,,
antiferromagnetics,प्रतिलोहचुंबकीय पदार्थ,,,
antigenic response,प्रतिजनी अनुक्रिया,,,
antigravity,प्रतिगुरुत्व,,,
antiknock additive,अपस्फोटरोधी योज्य,,,
antimony,ऐन्टिमनी,,,
antimorph,प्रतिआकृतिक,,,
antioxidant,प्रतिऑक्सीकारक,,,
antiparallel,प्रतिसमांतर,,,
antiseptic,पूतिरोधी,,,
antisymmetry,प्रतिसममिति,,,
antiviral agent,प्रतिविषाणुक कारक,,,
aperiodic,अनावर्ती,,,
aperture,द्वारक,,,
aplanatism,अविपथिता,,,
apparatus,उपकरण,,,
apparent,1. आभासी 2. स्पष्ट,,,
apparent luminosity,दृष्ट दीप्ति,,,
appliance,"साधित्र,अनुप्रयुक्ति",,,
applicable,अनुप्रयोज्य,,,
applied chemistry,अनुप्रयुक्त रसायन,,,
approximation,सन्निकटन,,,
aquaregia,ऐक्वारेजिया,,,
aquation reaction,जलीय अभिक्रिया,,,
aqueous,जलीय,,,
aqua,जल,,,
arbitrary,स्वेच्छ,,,
arc,1. आर्क 2. चाप,,,
arc welding,आर्क वेल्डिंग,,,
archimedes principle,आर्किमीडीज़ नियम,,,
architectural bronze,वास्तुक कांस्य,,,
areal,1. क्षेत्रफलीय 2. क्षेत्रीय,,,
argentiferous,रजतमय,,,
argon,आर्गान,,,
arid,"रूक्ष,शुष्क",,,
arithmetic mean,समांतर माध्य,,,
aromatic compound,ऐरोमैटिक यौगिक,,,
aromaticity,ऐरोमैटिकता,,,
arrangement,1. व्यवस्था 2. विन्यास,,,
array,1. व्यूह 2. सरणी,,,
Arrhenius theory of dissociation,आरेनिअस वियोजन सिद्धांत,,,
arseniferous,आर्सेनिकमय,,,
arseniuretted hydrogen (arsine),आर्सेनियित हाइड्रोजन (आर्सीन),,,
artificial isotope,कृत्रिम समस्थानिक,,,
artificial transmutation,कृत्रिम तत्वांतरण,,,
artificial weathering,कृत्रिम अपक्षयण,,,
arylation,ऐरिलन,,,
arylation,ऐरिलन,,,
ash,"राख, भस्म",,,
ashless filter paper,भस्महीन निस्पंदन पत्र,,,
aspect ratio,अभिमुखता अनुपात,,,
asphyxiation,श्वासरोधन,,,
aspiration,चूषण,,,
assembly (assemblage),"1. समुच्चय ,समुच्चयन 2. कोडांतरण",,,
associated,"1. संबद्ध सहचारी, 2. संगुणित",,,
associating solvent,1. संगुणकी विलायक (समान अणुओं का) 2. संयोजी विलायक (विभिन्न अणुओं का),,,
assumption,1. कल्पना 2. गृहीत,,,
astatic equilibrium,अस्थैतिक साम्य,,,
astigmatism,अबिंदुकता,,,
astringent,कषाय,,,
asymmetric synthesis,असममित संश्लेषण,,,
asymmetry,असममिति,,,
asymptote,अनंतस्पर्शी,,,
asynchronous,अतुल्यकालिक,,,
at random,यादृच्छिक,,,
atactic configuration,अव्यवस्थ विन्यास,,,
atmosphere,1. वायुमंडल 2. ऐटमॉस्फियर (दाब का मात्रक) 3. परिमंडल,,,
atmospheric corrosion,वायुमंडलीय संक्षारण,,,
atom,परमाणु,,,
atomic,"परमाण्विक,परमाणु",,,
atomic arrangement,परमाण्विक विन्यास,,,
atomic fission,परमाण्विक विखंडन,,,
atomic mass,परमाण्विक द्रव्यमान,,,
atomic number,परमाणु क्रमांक,,,
atomic structure,परमाणु संरचना,,,
atomicity,परमाणुकता,,,
atomistics,परमाण्विकी,,,
atomization,कणन,,,
attraction,आकर्षण,,,
attribute,गुण,,,
audible spectrum,श्रव्य स्पेक्ट्रम,,,
audiology,श्रवणविज्ञान,,,
augmentation,संवर्धन,,,
auriferous,स्वर्णमय,,,
austenitic cast iron,ऑस्टेनाइटी संचक लोहा,,,
auto oxidation,स्वतः ऑक्सीकरण,,,
autocatalyst,स्वोत्प्रेरक,,,
autocorrelation,स्वसहसंबंध,,,
autofluorescence,स्वतः प्रतिदीप्ति,,,
autogenous roasting,स्वजन्य भर्जन,,,
automatic,स्वचालित,,,
automation,1. स्वचालन 2. स्वचालित यंत्र,,,
automorphism,स्वसमाकृतिकता,,,
auxiliary mineral,सहायक खनिज,,,
auxochrome,वर्णवर्धक,,,
avalanche,1. अवधाव 2. हिमधाव,,,
average,"औसत,माध्य",,,
aviation gasoline,वैमानिक गैसोलीन,,,
aviation octane,नुम्बेर्वैमानिक ऑक्टेन संख्या,,,
Avogadro hypothesis,आवोगाद्रो परिकल्पना,,,
axial,अक्षीय,,,
axis,अक्ष,,,
azeotropic mixture,स्थिरक्वाथी मिश्रण,,,
azeotropism,स्थिरक्वाथिता,,,
azimuthal quantum number,दिगंशीय क्वांटम संख्या,,,
azocompound initiator,ऐजोयौगिक प्रारंभक,,,
bacillus,"दंडाणु,बेसिलस",,,
back diffusion,पश्च विसरण,,,
back e.m.f.,पश्च वि.वा.ब. (पश्च विद्युत वाहक बल),,,
back titration,पश्च अनुमापन,,,
back to back connection,पश्च-पश्च संबंधन,,,
background radiation,पृष्ठभूमिक विकिरण,,,
backlash,1. पिच्छट 2. पश्चगमन,,,
backward reaction,पश्चगामी अभिक्रिया,,,
bacteria,"जीवाणु,बैक्टीरिया",,,
bactericide,जीवाणुनाशी,,,
bacteriology,जीवाणुविज्ञान,,,
bacteriostat,जीवाणुस्थापी,,,
Baeyer's strain theory,बेयर विकृति सिद्धांत,,,
baffle,बाधिका,,,
baking powder,"बेकिंग पाउडर,पाक चूर्ण",,,
baking soda,"खाने का सोडा ,बेकिंग सोडा",,,
balance,1. तुला तराजू 2. संतुलन 3. शेष बाकी 4. संतुलित होना संतुलित करना (क्रि.),,,
balanced conjugation,संतुलित संयुग्मन,,,
balanced polymorphism,संतुलित बहुरूपता,,,
ball burnishing,गुलिका उद्घाजन,,,
ball mill,गुलिका पेषणी,,,
balling cone,गुलिकायन शंकु,,,
ballistic galvanometer,प्रक्षेप-गैल्वेनोमीटर,,,
ballistics,प्राक्षेपिकी,,,
band spectrum,बैंड स्पेक्ट्रम,,,
band width,"बैंड चौड़ई,बैंड पृथुता",,,
banded constituent,पट्टित संघटक,,,
bar,शलाका,,,
bar diagram,"आरेख,स्तंभ",,,
bar diagram,अनावृत इलैक्ट्रोड,,,
barometer,वायुदाबमापी,,,
barren,"1. अयस्कहीन 2. ऊसर ,बंजर, अनुर्वर ,बंध्य",,,
barrier energy,रोधिका ऊर्जा,,,
basal,1. आधारी (वि.). 2. आधारिका (सं.),,,
base,1. आधार 2. क्षारक 3. मूल,,,
base metal,1. अपधातु 2. आधार धातु,,,
basic,1. क्षारकीय 2. अल्पसिलिक 3. आधारी मूल,,,
basic slag,क्षारकीय धातुमल,,,
basicity of an acid,अम्ल की क्षारकता,,,
basophilous,क्षारकरागी,,,
batch,1. घान 2. गण,,,
batchwise,गणशः,,,
bath,"1. अवगाह, बाथ 2. ऊष्मक",,,
bathochromic,वर्णोत्कर्षी,,,
battery,1. बैटरी 2. माला,,,
bauxitization,बॉक्साइटन,,,
beach,पुलिन,,,
beam,1. दंड 2. बीम 3. धरन 4. किरणपुंज,,,
bearing,"1. दिक्मान, दिक्कोण  2. बेयरिंग",,,
Becqueral effect,बैकेरल प्रभाव,,,
bed,1. संस्तर 2. तल,,,
beehive coke,मधुछत्र कोक,,,
Beer-Lambert absorption law,बियर-लैम्बर्ट अवशोषण नियम,,,
belt,1. कटिबंध  2. मेखला  3. पट्टी 4.पट्टा,,,
belt conveyor,पट्टा वाहित्र,,,
bench mark,1निर्देश चिह्न 2.तल चिह्न 3.मोड़ना 4.बंकन (क्रि.),,,
bend,1.मोड़ 2.बंक (सं.),,,
bending strength,बंकन सामर्थ्य,,,
beneficiation,सज्जीकरण,,,
benzene ring,बेन्जीन वलय,,,
benzidine rearrangement,बेन्जिडीन पुनर्विन्यास,,,
benzoin condensation,बेन्जॉइन संघनन,,,
benzoylation,बेन्ज़आइलन,,,
Bernoulli equation,बर्नूली समीकरण,,,
Bernoulli theorem,बर्नूली प्रमेय,,,
Berthelot isotherm,बेर्तलो समतापी वक्र,,,
beryl earth,"बैदूर्य मृत्तिका,बेरिल मृत्तिका",,,
berylliosis,बेरिलियममयता,,,
Bessemer convertor,बेसेमर परिवर्तित्र,,,
beta particle,बीटा कण,,,
bevelling,"1. कोरतलन ,2. प्रवणन",,,
bias,"अभिनति,बायस",,,
biaxial,द्विअक्षीय,,,
bicrystal,दविक्रिस्टल,,,
bidimensional,द्विविमीयता,,,
bidirectional pulse train,द्विदिशी स्पंदावली,,,
bifurcation,दविशाखन,,,
bilateral,दविपाश्विक,,,
bilinearity,दविरैखिकता,,,
bimagmatic,दविमैग्मी,,,
bimolecular,द्विआण्विक,,,
binary alloy,द्विअंगी मिश्रातु,,,
binder,"बंधक,योजक",,,
binding energy,बंधन ऊर्जा,,,
binomial,द्विपद,,,
binuclear,"1. विकेंद्रीय 2. द्विन्यूक्लीय,दविनाभिकीय 3. दविकेंद्रकी",,,
biocatalyst,जैवुत्प्रेरक,,,
biochemical engineering,जैवरासायनिक इंजीनियरी,,,
biochemical oxygen demand,जैवरासायनिक ऑक्सीजन माँग,,,
biochemistry,जैवरसायन,,,
biodegradation,"जैवनिम्नीकरण,जैव निम्नन",,,
biological,जैविक,,,
biomass,जैवमात्रा,,,
biophile,जैवरागी,,,
biosphere,जैवमंडल,,,
biotechnology,जैवप्रौद्योगिकी,,,
biotic,जीवीय,,,
bipolarity,दद्विध्रुवता,,,
biradical,दविमूलक,,,
bituminization,बिटूमेनन,,,
bituminous coal,बिटुमेनी कोयला,,,
bivalent,दविसंयोजी,,,
black body,कृष्णिका,,,
black ore,काला अयस्क,,,
blanc fix (fixe),बेरियम सल्फेट ब्लांक फिक्स,,,
blank carburizing,रिक्त कार्द्धरण,,,
blast,1. स्फोटन 2. झोंका वात्या धमन,,,
blast furnace,धमन भट्टी,,,
bleach,विरंजन (क्रि.) विरंजक (सं.),,,
bleaching powder,विरंजक चूर्ण,,,
bleeding,1. स्रवण 2. रक्तस्रवण,,,
blended unconformity,संमिश्रित विषमविन्यास,,,
blending,संमिश्रण,,,
blister copper,फफोलेदार तांबा,,,
block,1. खंडकब्लॉक 2. अवरोध,,,
block polymerisation,खंडक बहुलकन,,,
blood corpuscle,रुधिराणु,,,
blow down,अवधमन,,,
blue brittleness,नील भंगुरता,,,
bluish,नीलाभ,,,
boat form,नौका रूप,,,
bob,गोलक,,,
Bode stability criterion,बोडे स्थायित्व निकष,,,
body,1. पिंड वस्तु 2. बॉडी 3. काय,,,
body centred,अंतः केंद्रित,,,
bodying,कायन,,,
bog iron ore,दलदली लोह अयस्क,,,
Bohr's principal quantum number,बोर मुख्य क्वांटम संख्या,,,
boiling curve,क्वथन वक्र,,,
boiling point elevation,क्वथनांक उन्नयन,,,
Boltzmann-Stefan equation,बोल्ट्समान-स्टीफन समीकरण,,,
bombarding energy bond,बमबारी ऊर्जा,,,
bond,"1. आबंध 2. बंधपत्र ,बॉण्ड",,,
dissociation energy,आबंध वियोजन ऊर्जा,,,
bonding electron,आबंधक इलेक्ट्रॉन,,,
bone ash,अस्थि भस्म,,,
Boolean function,बूलीय फलन,,,
boosting,अभिवर्धन,,,
borax bead test,सुहागा मनका परीक्षण,,,
boring,बेधन,,,
borings,खरादन,,,
boron alloy,बोरॉन मिश्रातु,,,
Bose-Einstein statistics,बोस-आइन्सटाइन सांख्यिकी,,,
boson,बोसॉन,,,
bottling apparatus,बोतलबंदी उपकरण,,,
bottom,"तली,अधस्तल",,,
bottom fermentation,अधस्तल किण्वन,,,
bottom topography,तलीय स्थलाकृति,,,
bounce,1. उछाल 2. उच्छलन,,,
boundary layer flow,परिसीमा परत प्रवाह,,,
bounded convergence,परिबद्ध अभिसरण,,,
bounded electron,परिबद्ध इलेक्ट्रॉन,,,
Boyle's law,बॉयल नियम,,,
brackish water,"नुनखरा जल,खारा जल",,,
Bragg cystallogram,ब्रैग क्रिस्टलचित्र,,,
branched chain compound,शाखित श्रखला यौगिक,,,
branching ratio,शाखन अनुपात,,,
brazing alloy,ब्रेजन मिश्रातु,,,
break down,1. भंजन 2. फेल होना,,,
break even point,संतुलन स्तर बिंदु,,,
breaking strength,भंजन सामर्थ्य,,,
breeding,प्रजनन,,,
bridge compound,सेतु यौगिक,,,
bridged structure,सेत्वित संरचना,,,
brightening,प्रभासन,,,
brilliant,"1. चमकीला,चटक 2. प्रतिभाशाली",,,
briquetting,इष्टिकायन,,,
brittleness,भंगुरता,,,
broad beam absorption,विस्तृत किरणपुंज अवशोषण,,,
bromination,ब्रोमीनन,,,
bromometry,ब्रोमीनमिति,,,
Bronsted catalysis law,ब्रसटेद उत्प्रेरण नियम,,,
bronze steel,कांस्य इस्पात,,,
brown sugar,1. भूरी शर्करा 2. ब्राउन शूगर,,,
Brownian motion,ब्राउनी गति,,,
Brunauer-Emmett-Teller equation,ब्रूनार-एमेट-टेलर समीकरण,,,
bubble,"बुबुद् (सं.),बुबुद्न (क्रि.)",,,
buckling,प्राकुंचन,,,
buff coloured,बफवर्णी,,,
buffer action,"उभयप्रतिरोधी क्रिया,बफ़र क्रिया",,,
build up,वर्धन,,,
bulk,1. आयतन 2. स्थूलता 3. पुंज,,,
bulk polymerisation,पुंज बहुलकन,,,
bulky precipitate,विपुल आयतनी अवक्षेप,,,
bumping,उच्छलन,,,
buoyancy,"उत्प्लावकता,उत्प्लावन",,,
burette electrode,ब्यूरेट इलैक्ट्रोड,,,
burner,बर्नर ज्वालक,,,
burnt deposit,दग्ध निक्षेप,,,
burst,1. प्रस्फोट 2. विदर,,,
butaldehyde,ब्यूटैल्डिहाइड,,,
butane dehydrogenation,ब्यूटेन विहाइड्रोजनन,,,
butyrene,ब्यूटिरीन,,,
byproduct,उपोत्पाद,,,
cable compound,केबिल यौगिक,,,
cadmium electrode.,कैडमियम इलैक्ट्रोड,,,
cage complex,पंजर संकुल,,,
caking,1. बटिकायन 2. केक बनाना,,,
caking coal,बटिकायन कोयला,,,
calcareous formation,कैल्सियमी शैलसमूह,,,
calcification,कैल्सीयन,,,
calcination,निस्तापन,,,
calcium deficiency disease,कैल्सियम न्यूनतारोग,,,
calculate,परिकलन करना,,,
calescence,ऊष्मण,,,
calibration,"अंशांकन,अंशशोधन",,,
calomel electrode,कैलोमेल इलैक्ट्रोड,,,
calorescence,"कैलोरसेंस,अवरक्त दीप्ति",,,
caloric value,कैलोरीयमान,,,
calorific value,कैलोरीजनन मान,,,
calorimetry,कैलोरीमिति,,,
camphor,"1. कैम्फर 2. कपूर,कर्पूर",,,
canary yellow,कैनेरी पीत,,,
Cannizaro reaction,कैनिजारो अभिक्रिया,,,
canonical,विहित,,,
capacitance,धारिता,,,
capacitive reactance,धारिता प्रतिघात,,,
capillary,केशिका,,,
capillary rise method,केशिकीय उत्थान विधि,,,
capsule,"संपुट,कैप्स्यूल",,,
capture,प्रग्रहण,,,
caraway oil,"अजमोद तेल,अजवायन तेल",,,
carbanion,कार्बृणायन,,,
carbethoxylation,काबेथॉक्सिलन,,,
carbide treatment,कार्बाइड उपचार,,,
carbon absorption bed,कार्बन अवशोषण संस्तर,,,
carbon-14 dating,कार्बन-१४ कालनिर्धारण,,,
carbonaceous,कार्बनमय,,,
carbonation (carbonatation),कार्बोनेटन,,,
carboniferous,कार्बनमय,,,
carbonium ion,कार्बोनियम आयन,,,
carbonylation,कार्बोनिलन,,,
carbothermal process,कार्बूष्मीय प्रक्रम,,,
carboxylation,कार्बोक्सिलन,,,
carburizing,कार्बूरण,,,
carcinogenesis,कैन्सरजनन,,,
carcinogenic compound,कैंसरजनी यौगिक,,,
carotenoid,कैराटिनॉइड,,,
carrier compound,वाहक यौगिक,,,
Cartesian axes,कार्तीय अक्ष,,,
cascade,सोपानी (वि.) सोपानीपात (सं.),,,
case,1. विषय प्रकरण 2. स्थिति 3. कोश 4. केस रोगी,,,
case hardening,"पृष्ठ कठोरण,आवरण",,,
casing,आवरक,,,
cast,1. संचक (सं.) 2. ढालना संचकन (क्रि.),,,
cast alloy,संचक मिश्रातु,,,
cast iron,"संचक लोहा,ढलवाँ लोहा",,,
casting metal,संचकन धातु,,,
castomatic process,स्वसंचकी प्रक्रम,,,
cataclastic metamorphism,अपदलनी कायांतरण,,,
catalysis,उत्प्रेरण,,,
catalyst poisoning,उत्प्रेरक विषाक्तन,,,
catalytic reaction rate,उत्प्रेरकी अभिक्रिया दर,,,
cataphoresis,धनकण संचलन,,,
category,संवर्ग,,,
cathode corrosion,कैथोड संक्षारण,,,
cathodic reduction,कैथोडी अपचयन,,,
cation,धनाथन,,,
cationic surfactant,धनायनी पृष्ठसक्रियक,,,
cationoid,धनायनाभ,,,
cause-consequence analysis,कारण-परिणाम विश्लेषण,,,
caustic alkalinity,दाहक क्षारीयता,,,
causticization,दाहकीकरण,,,
cauterization,"आदहन,कॉटरण",,,
cavitation,कोटरन,,,
celestial body,खगोलीय पिंड,,,
cell,1. कोशिका 2. सेल 3. कोष्ठिका,,,
cellular structure,कोशिकीय संरचना,,,
cellulose degradation,सेलुलोस निम्नन,,,
cement binder,सीमेंट बंधक,,,
central atom,केंद्रीय परमाणु,,,
centre of gravity,गुरुत्व-केंद्र,,,
centre of gyration,परिभ्रमण-केंद्र,,,
centreof curvature,वक्रता-केंद्र,,,
centrifugal force,अपकेंद्री बल,,,
centrifugation,अपकेंद्रण,,,
centripetal,अभिकेंद्र,,,
centripetal force,अभिकेंद्री बल,,,
centroid,केंद्रक,,,
centrosymmetrical,केंद्रसममितीय,,,
