calculator,"1.कैलकुलेटर, 2.परिकलक",,
calculator chip,"1.कैलकुलेटर चिप,2. परिकलक चिप",,
call,आह्वान,,
call by name,नाम आह्वान,,
call by reference,संदर्भ आह्वान,,
call by value,मान आह्वान,,
call by variables,चर आह्वान,,
call gate,आहवान गेट,,
cancel,"1.निरस्त करना, 2.रद्द करना",,
cancel button,निरसन बटन,,
canonical,"1.विहित,2. कैनॉनिकल",,
canonical form,विहित रूप,,
capability,क्षमता,,
capability list,क्षमता सूची,,
capacity,"1.क्षमता,2. धारिता",,
caps lock key,कैप्स लॉक कुंजी,,
card,"1.कार्ड,2. पत्रक",,
card reader,कार्ड पाठक,,
cardinality,प्रमुखता,,
carrier,वाहक,,
carrier band,वाहक बैंड,,
carrier load,वाहक भार,,
carrier signal,वाहक संकेत,,
carrier wave,वाहक तरंग,,
carry,हासिल,,
carry digit,हासिल अंक,,
carry flag,हासिल ध्वज,,
cartridge disk,"1.काट्रिज डिस्क, 2.काट्रिज चक्रिका",,
cascade,"1.कास्केड, 2.सोपानी",,
case,केस,,
cathod ray tube (CRT),कैथोड-रे-टयूब (सी आर टी),,
cathode ray tube (CRT),कैथोड किरण नलिका (सी. आर. टी.) कैथोड-रे-टयूब,,
CD ROM disk drive,सी डी रॉम डिस्क ड्रािव,,
cell,सेल,,
cell animation,सेल एनीमेशन,,
cellular phone,सेल्युलर फोन,,
central memory,"1.केंद्रीय स्मृति,2. केंद्रीय मेमोरी",,
central processing unit (CPU),केद्रीय प्रक्रमण एकक (सी पी यू),,
centralized system,केंद्रीकृत तंत्र,,
certified tape,प्रमाणीकृत टेप,,
chain,श्रृंखला,,
chain data,"1.श्रृंखला आंकड़ा, 2.श्रृंखला सामग्री",,
chain link,श्रृंखला कड़ी,,
chaining,श्रृंखलन,,
channel,"1.प्रणाल, 2.चैनल",,
channel busy tone,"1.प्रणाल व्यस्त टोन, 2.चैनल व्यस्त टोन",,
channel capacity,"1.प्रणाल क्षमता, 2.चैनल क्षमता",,
channel controller,"1.प्रणाल नियंत्रक, 2.चैनल नियंत्रक",,
channel error,"1.प्रणाल त्रुटि, 2.चैनल त्रुटि",,
channel program,"1.चैनल कार्यक्रम, 2.चैनल प्रोग्राम",,
channel reliability,"1.प्रणाल विश्वसनीयता, 2.चैनल विश्वसनीयता",,
channel set,"1.प्रणाल समुच्चय, 2.चैनल समुच्चय",,
character,संप्रतीक,,
character code,"1.संप्रतीक कूट,2. संप्रतीक कोड",,
character key,संप्रतीक कुंजी,,
character reader,संप्रतीक पाठक,,
character size,"1.संप्रतीक सािज, 2.संप्रतीक आमाप",,
chart,संचित्र,,
chassis,"1.न्याधार, 2.चैसिस",,
check bit,जाँच बिट,,
check digit,जाँच अंक,,
check sum,जाँच योग,,
check word,जाँच शब्द,,
chip,चिप,,
chip set,चिप सेट,,
choose,"1.चुनना, 2.चयन",,
chromatically,वर्णिक रूप से,,
cipher,"1.सािफर,2. शून्य,3. सीफर",,
circuit,परिपथ,,
circular list,वर्तुल सूची,,
cirus,सायरस,,
citation,उल्लेख,,
class,"1.श्रेणी, 2.वर्ग",,
class variable,वर्ग चर,,
classification,वर्गीकरण,,
clear,अपमार्जन,,
clear area,अपमार्जित क्षेत्र,,
clear channel,"1.अपमार्जित प्रणाली, 2.अपमार्जित चैनल",,
click,दबाना,,
client,"1.ग्राहक,2. क्लाइट",,
client server,"1.ग्राहक परिसेवक, 2.ग्राहक सर्वर",,
client stub,ग्राहक स्टब,,
clip art,कर्तन कला,,
clip art library,कर्तन कला पुस्तकालय,,
clip board,क्लिप बोर्ड,,
clipper,क्लिपर,,
clipper chip,क्लिपर चिप,,
clique,गुट,,
clock,"1.घड़ी,2. कालद",,
clock cycle,कालद चक्र,,
clock frequency,कालद आवृत्ति,,
clock hardware,कालद हार्डवेयर,,
clock pulse,कालद स्पंद,,
clock speed,कालद गति,,
clock synchronization,कालद तुल्यकालन,,
clock tick,कालद टिक,,
clone,क्लोन,,
close,बंद,,
close circuit TV (CCTV),संवृत परिपथ टी.वी. (सी.सी.टी.वी.),,
closure,संवरण,,
cloud computing,"1.मेघाभिकलन,2.क्लाुड कंप्यूटिंग",,
cluster,गुच्छ,,
coated card,"1.विलेपित कार्ड,2. विलेपित पत्रक",,
coated paper,लेपित कागज,,
coaxial,समाक्षीय,,
coaxial cable,समाक्ष केबल,,
codasyl,कोडासिल,,
code,"1.कूट, 2.कोड",,
code generator,"1.कूट जनक,2. कोड जनक",,
code page,कूट पृष्ठ,,
code word,"1.कूट शब्द, 2.कोड शब्द",,
coder,"1.कोडर, 2.कूटक",,
coding check,"1.कूट लेखन जाँच, 2. कोडन जाँच",,
coding form,कूट लेखन रूप,,
coding sheet,"1.कूटलेखन पत्र, 2. कोडन शीट",,
coefficient,गुणांक,,
coherence,ससंजन,,
cold boot,"1.शीत बूट, 2.शीत प्रारंभ",,
cold start,शीत प्रारंभ,,
collaboration,सहयोग,,
collapse,निपात,,
collate,"1.परिमिलन, 2.समानुक्रमित करना",,
collate tape,"1.समानुक्रमित टेप,2. कालेट टेप",,
collision,टक्कर,,
colon,कोलन,,
colour (color),"1.वर्ण, 2.रंग",,
colour saturation,रंग संतृप्ति,,
colour table,रंग सारणी,,
column,स्तंभ,,
combination,संयोजन,,
combo box,समिश्र पेटी,,
command,"1.समादेश, 2.कमांड",,
command button,समादेश बटन,,
command list,समादेश सूची,,
comment,टिप्पणी,,
commitment,"1.वचन बद्धता, 2.प्रतिबद्धता",,
commodity,वस्तु,,
Common Business Oriented Language (Cobol),सामान्य व्यवसाय उन्मुखी भाषा (कोबोल),,
common error,सामान्य त्रुटि,,
common language,सामान्य भाषा,,
common routine,"1.सामान्य नेमक,2. सामान्य नित्यक्रम",,
communication,संचार,,
communication line,संचार रेखा,,
communication mode,संचार विधा,,
communication network,"1. संचार नेटवर्क, 2. संचार जालक्रम",,
communication parameter,संचार प्राचल,,
communication system,संचार तंत्र,,
compaction,संहनन,,
compander,संपीडप्रसारित्र,,
companding,संपीडप्रसारण,,
company network,कंपनी नेटवर्क,,
comparison test,तुलना परीक्षण,,
compatibility,"1.सुसंगति, 2.संगतता",,
compatible,सुसंगत,,
compilation,संकलन,,
compile and go,संकलन तथा कार्यपालन,,
compiler,"1.संकलक, 2.क्रमादेश अंतरक",,
compiler language,संकलक भाषा,,
complementary,पूरक,,
complement-on-ten,दस-पूरक,,
complementor,पूरक,,
complete carry,"1.संपूर्ण हस्तगत, 2.संपूर्ण हासिल",,
complex,सम्मिश्र,,
complex number,सम्मिश्र संख्या,,
component,घटक,,
component object model (COM),कॉम,,
composite,संयुक्त,,
composition,संयोजन,,
computational,"1.अभिकलनीय, 2.अभिकल्पनात्मक",,
computer,कंप्यूटर,,
computer centre,कंप्यूटर केन्द्र,,
computer expert,कंप्यूटर विशेषज्ञ,,
computer graphics,कंप्यूटर ग्राफिक्स,,
computer instruction,कंप्यूटर अनुदेश,,
computer language,"1.कंप्यूटर भाषा, 2.अभिकलक भाषा",,
computer network,"1.कंप्यूटर नेटवर्क, 2.कंप्यूटर जालक्रम",,
computer science,कंप्यूटर विज्ञान,,
computer security,कंप्यूटर सुरक्षा,,
computer simulaton,कंप्यूटर अनुकरण,,
computer specialist,कंप्यूटर विशेषज्ञ,,
computerisation,कंप्यूटरीकरण,,
computerist,कंप्यूटरविद्,,
computerize,कंप्यूटरीकरण,,
computing,"1.अभिकलन,2. कंप्यूटन",,
concept,संकल्पना,,
concurrency,"1.समरूपता, 2.सहसंगता, 3.संगमन",,
concurrent,"संगामी, समरूपी",,
condition variable,प्रतिबंध चर,,
conditional operator,प्रतिबंधित संकारक,,
conditional statement,प्रतिबंधित कथन,,
conductor,चालक,,
conferencing,"1.दूर सम्मेलन, 2.सम्मेलन",,
confidentiality,गोपनीयता,,
configuration,"1.संविन्यास, 2.संरूपण",,
congestion,संकुलन,,
conjunction,संयोजन,,
connect speed,संबंधन गति,,
connection,संबंधन,,
connection less communication,संबंधन रहित संचार,,
connection release,संबधन मुक्ति,,
connectivity,संयोजकता,,
connector,"1.संबंधक, 2.संयोजक",,
consecutive,क्रमागत,,
consequent,अनुवर्ती,,
console,कन्सोल,,
consolidation,समेकन,,
constant,"1.नियतांक,2. स्थिरांक",,
constant instruction,अचर अनुदेश,,
constraint,प्रतिबंधित,,
constructor,संरचक,,
container,पात्र,,
content,"1.अन्तर्वस्तु, 2.अंश",,
context,सन्दर्भ,,
context free grammar (CFG),सन्दर्भ मुक्त व्याकरण (सी एफ जी),,
context switch,सन्दर्भ स्विच,,
contingency,"1.आकस्मिक, 2.आकस्मिकता",,
contraction,विसंगति,,
contrast,विपर्यास,,
control,नियंत्रण,,
control area,नियंत्रण क्षेत्र,,
control bit,नियंत्रण बिट,,
control bus,नियंत्रक बस,,
control card,नियंत्रण कार्ड,,
control circuit,नियंत्रण परिपथ,,
control cycle,नियंत्रण चक्र,,
control engineering,"1.नियंत्रण अभियांत्रिकी, 2.नियंत्रण इंजीनियरी",,
control key,नियंत्रण कुंजी,,
control logic,नियंत्रण तर्क,,
control loop,नियंत्रण पाश,,
control mark,नियंत्रण चिन्ह,,
control operation,नियंत्रण संक्रिया,,
control panel,नियंत्रण पैनल,,
control signal,नियंत्रण संकेत,,
control switch,नियंत्रण स्विच,,
control tape,नियंत्रण टेप,,
control terminal,"1.नियंत्रण टर्मिनल, 2.नियंत्रण अंतक",,
control unit (CU),"1.नियंत्रण एकक,2. नियंत्रण इकाई",,
convergence,अभिसरण,,
conversation,संवाद,,
conversational time sharing,संवादी काल भाजन,,
conversion,रूपांतरण,,
converter,परिवर्तक,,
Cook's theorem,कुक-प्रमेय,,
co-processor,सह प्रक्रमक,,
copy,प्रतिलिपि,,
copyright,सर्वाधिकार,,
cord,कॉर्ड,,
cordless telephone,"1.कॉर्डलेस टेलीफोन,2. तार रहित टेलीफोन, 3. तार रहित दूरभाष",,
corollary,उपप्रमेय,,
correction,संशोधन,,
corrupted,"1.अनुपयोगी, 2. विकृत",,
count,गणना,,
counter,गणक,,
country code,देश कूट,,
covariance,सहप्रसरण,,
coverage,"1.व्याप्ति क्षेत्र,2. प्रसारण",,
crash,ध्वंस,,
critical path,क्रांतिक पथ,,
critical path method (CPM),क्रांतिक पथ विधि (सी पी एम),,
cross check,"1.प्रति परीक्षण, 2.क्रास जांच",,
cross compiler,"1.क्रॉस क्रमादेश-अंतरक,2. प्रति क्रमादेश-अंतरक",,
cross fire,अप्रासंगिक सिग्नल,,
cross talk,अप्रासंगिक वार्ता,,
cryptographic,गूढालेखी,,
cryptography,"1.गूढालेखन, 2.गूढालेखिकी, 3.क्रिप्टोग्राफी",,
currency symbol,मुद्रा प्रतीक,,
current directory,वर्तमान निर्देशिका,,
current window,वर्तमान विंडो,,
cursor,कर्सर,,
curve,वक्र,,
cut and paste,"1.काटो और चिपकाओ, 2.कर्तन और चिपकाना",,
cut method,कर्तन विधि,,
cyber,सािबर,,
cyber café,सािबर कैफे,,
cyber cash,सािबर कैश,,
cyber crime,सािबर अपराध,,
cyber delics,सािबर डेलिक्स,,
cyber law,सािबर कानून,,
cyber sex,सािबर सेक्स,,
cybernatics,"1.सािबर विज्ञान,2. साइबरनेटिक्स",,
cybernation,"1.सािबरकरण,2. सािबरीकरण",,
cycle,चक्र,,
cycle memory,"1.चक्र स्मृति, 2.चक्र मेमोरी",,
cycle steal,चक्र हरण,,
cycle time,चक्र काल,,
cyclic,चक्रीय,,
daemon,डेमॉन,,
daisy wheel,डेजी चक्र,,
data administrator,आँकड़ा प्रशासक,,
data allocation,आँकड़ा नियतन,,
data area,"1.आँकड़ा क्षेत्र, 2.डाटा क्षेत्र",,
data array,"1.आँकड़ा सरणी,2. ऑकड़ा व्यूह",,
data base,"1.डाटा-बेस, 2. आँकड़ा आधार",,
data break,डाटा विभंग,,
data bus,"1.आँकडा बस, 2. डाटा बस",,
data carrier,"1.ऑकड़ा वाहक, 2.डाटा वाहक",,
data cell,आँकड़ा कोष्ठिका,,
data channel,"1.आँकड़ा प्रणाल, 2. आँकड़ा चैनल",,
data communication,आँकड़ा संचार,,
data compression,"1.आँकड़ा संपीडन, 2. डाटा संपीडन",,
data field,आँकड़ा क्षेत्र,,
data file,आँकड़ा संचिका,,
data flow,"1.आँकड़ा प्रवाह, 2. डाटा प्रवाह",,
data flow Chart,"1.आँकड़ा प्रवाह संचित्र, 2.चार्ट",,
data hierarchy,आँकड़ा पदानुक्रम,,
data level,आँकड़ा स्तर,,
data library,"1.आँकड़ा संग्रह, 2. आँकड़ा लाइब्रेरी",,
data link layer,आँकड़ा कड़ी परत,,
data link layer (DLL),आँकड़ा कड़ी परत (डी एल एल),,
data management,"1.आँकड़ा प्रबंधन, 2.डाटा प्रबंधन",,
