English ,Hindi
animal refuse,पशु उच्छिष्ट
animate energy,सजीव ऊर्जा
anisoploid,असमगुणित
annual plant,एकवर्षीय पादप
annual,वार्षिक
anthesis,1. परागोद्भव 2. प्रफुल्लन
anthrax,ऐन्थ्रेक्स
anthropogenic factor,मानवजनिक कारक
antibiosis,प्रतिजीविता
antibiotic,1.प्रतिजैविक2.  ऐन्टीबायोटिक
antidote,प्रतिकारक
antioxidants,प्रतिऑक्सीकारक
antitoxin,प्रतिआविष
anulus,वलयिका
aphid,1. ऐफिड 2. माहू 3. चेपा
apical bud,शीर्ष कलिका
apical dominance,शिखाग्र प्रभाविता
apiculture (bee keeping),मधुमक्खी पालन
apomixis,असंगजनन
apoptosis,एपोप्टोसिस
appendage,उपांग
appetizer,क्षुधावर्धक
applied,अनुप्रयुक्त
aquatic weed,जलीय खरपतवार
arboreal,1. वृक्षीय 2. वृक्षवासी
arborization,शाखायन
archaeo-botanical records,आद्य वानस्पतिक अभिलेख
area statistics,क्षेत्रांकड़
area,1. क्षेत्र 2. क्षेत्रफल
arid ecosystem,शुष्क पारितंत्र
aril,बीजचोल
aroma,सौरभ
aromatic plant,सुगंधी पादप
aromatic rice,सुगंधित चावल
arrowing,इक्षु पुष्पन
asepsis,अपूति
aseptic,1.अपूतित 2. अजर्म
asexual propagation,अलैंगिक प्रवर्धन
assay,आमाप
assets,परिसंपत्ति
assimilation,1. स्वांगीकरण 2. आत्मसात्करण
association,1. साहचर्य 2. संघ
astringent,1. स्तंभक 2. कषाय
asynapsis,असूत्रयुग्मन
atavism,1. पूर्वजता 2. ऐटाविज्म
atomizer,कणित्र
atrophy,1.अपुष्टि 2. क्षीणता
autogamy,स्वयुग्मन
autolysis,स्वलयन
autooxidation,1. स्वतः उपचयन 2. स्वतः ऑक्सीभवन
autopolyploid,स्वबहुगुणित
auxins,ऑक्सिन
awn (bristle),1. शूक 2. तूड़
baccilovirus,दंड विषाणु
bacillus,1. दंडाणु 2. बैसिलस
bacteria,1. जीवाणु 2. बैक्टीरिया
bacteriotoxin,जीवाणु आविष
bagasse,खोई
balance sheet,तुलन-पत्र
balanced fertilization,संतुलित उर्वरक उपयोग
bar diagram,दंड आरेख
bark,छाल
barometer,1. वायुदाबमापी 2. बैरोमीटर
barren,1. बजर 2. अकृष्य 3. बांझ
base,1. आधार 2. बेस 3. कपांग
basin,1.थाला 2. द्रोणी
basipetal,तलाभिसारी
basisternum,1. बेसिस्टर्नम 2. मूलाधारक
bay monsoon,खाड़ी मानसून
bearing plant,फलदायी पौधा
bed,क्यारी
bedder,क्यारी - पौधा
bedding,क्यारी बनाना
beet molasses,चुकंदर शीरा
bellows,धौंकनी
belt,1. पट्टी 2. इलाका
benefit-cost analysis,लाभ-लागत विश्लेषण
biased (sampling),अभिनत (प्रतिचयन)
biennial,द्विवर्षीय पादप
binomial,द्विपद
bioagent,जैवकारक
bioclimate,जीव जलवायु
bioenergy,जैव ऊर्जा
bionomics,जीव पारिस्थितिकी
bio-reactor,1. जैव-प्रक्रियापात्र 2. बायो रिएक्टर
biosphere,जीव-मंडल
biotic,जीवीय
biotype,जीव प्ररूप
bisexual,दविलिंगी
blanching,धवलन
blast,1.  प्रध्वसं (रोग) 2.  झोंका रोग
blend,संमिश्रण
blight,1. अंगमारी (रोग) 2.  ब्लाइट (रोग)
blister,1. छाला 2. फफोला 3. उद्वर्त 4. ब्लिस्टर
blue revolution,नीली क्रांति
bottom heat chamber,तलीय ताप चैंबर
bottom heat technique,तलीय ताप तकनीक
bran,चोकर
branching,शाखन
branchlet,1. टहनी 2. उपशाखा
breed,नस्ल
breeding,प्रजनन
brimming,शीघ्र अंकुरण उपचार
brood,1. शाव 2. अंड 3. भ्रूण
budding,कलिकायन
budget,बजट
buffer,1.उभयप्रतिरोधी 2. बफर
bulb,शल्ककंद
bunt,बंट (रोग)
by-product,1. उपजात 2. उपोत्पाद
c moisture characteristic curve,c नमी विशिष्टता वक्र
cake,खली
calcarious,1. चूनेदार 2.कैल्सियमी
calcification,कैल्सीयन
calcination of phosphate,फॉस्फेट का निस्तापन
callosity,1. किणता 2. कैलसता
callus,1.कैलस 2. किण
calyx,1. बाह्यदल पुंज 2.कैलिक्स
calyx-end,वाह्यदल अंत
cambium,एधा
canker,कैंकर (जीवाणु रोग)
canning,डिब्बाबंदी
canopy,वितान
capital,पूंजी
caprification,परागण (अंजीर का)
capsule,1. संपुट 2. संपुटिका 3. कैप्सूल
carbonated,कार्बोनीकृत
carbonization,कार्बनन
carpel,अंडप
carpus,मणिबंध
casting,1. ढलाई (लोहे की) 2. क्षिप्ति (कीट)
catabolism,अपचय
catalysis,उत्प्रेरण
caterpillar,1. इल्ली 2. सूंडी
C-DNA Library,सी ड़ी. एन. ए. संग्रह
ceiling,सीमा
cell,1. कोशिका 2. कोष्ठिका
central leader system,केंद्रीय अग्रग प्रणाली
centric,1. सबिंदु 2. सकेंद्र
centrifugation,अपकेंद्रण
centrifuge,अपकेंद्रक
centriole,तारककेंद्र
centrogenic,केंद्रजनिक
centrogenous,केंद्रजा
cercus,लूम
cereal,1. धान्य 2. सीरियल
certification,1. प्रमाणीकरण 2. प्रमाणन
certified seed,प्रमाणित बीज
chaff,1. भूसा 2. कुट्टी 3. शल्क सहपत्र
chalaza,1. निभाग 2. कैलाजा
chemotropism,रसानुवर्तन
chiasma,1. किआज्मा 2. व्यत्यस्त
chilling hours,अतिशीतन घंटे
chilling injury,शीतज क्षति
chimera,1.  विचित्रोतकी 2. काइमेरा
chloranthy,हरित दली
chlorophyll,1. पर्णहरित 2. हरितक
chlorosis,हरिमाहीनता
chorology,जीव वितरण विज्ञान
chromatid,1. क्रोमैटिड 2. अर्धगुणसूत्र
chromatin,क्रोमैटिन
chromatography,वर्णलेखन
chromatolysis,क्रोमोटिनलयन
chromocentre,परिसूत्र बिंदु
chromogenesis,वर्णजनन
chromoprotein,1. क्रोमोप्रोटीन 2. वर्णकप्रोटीन
chromosome,1. गुणसूत्र 2. क्रोमोसोम
chronic,1. चिरकाली 2. दीर्घकाली 3. जीर्ण 4. पुराना
citrange,सिट्रेंज
cladode,पर्णाभपर्व
classification,वर्गीकरण
clay,1.मृत्तिका 2. चिकनी मिट्टी
cleaning,1. निर्मलन 2. मार्जन 3. सफाई 4.  शोधन
cleistogamy,अनुन्मील्य परागण
climacteric fruit,क्रतिक श्वसनी फल
climate,जलवायु
climatology,जलवायु विज्ञान
clipper,कतरनी
clod,ढेला (मिट्टी का)
clone,क्लोन
cloud,1.मेघ 2. बादल
clump,पुंज (क्लंप
cluster,गुच्छ
coarse,1.स्थूल 2. मोटा 3. कच्चा 4. अपरिष्कृत
coat (seed),1. आवरण 2.  चर्मावरण
cocoon,कोया
coenzyme,1. कोएन्जाइम 2. सह-एन्जाइम
cohesion,संसंजन
coir,1. रेशा (जूट पटसन) 2. नारियल जटा
coleorrhiza,मूलांकुर चोल
collar 1. स्तंभमूलसंधि 2. कॉलर 3. ग्रीवा,
colloid (soil),कोलॉइड (मृदा)
columella,1.स्तंभिका 2. कॉलुमेला
column,1.दंड 2. स्तंभ 3. कॉलम
commensalism,सहभोजिता
commercial bank,वाणिज्यिक बैंक
commodity,1. जिंस 2. पण्य वस्तु
community,समुदाय
compaction (of soil),संहनन (मृदा का)
compatibility,1. सुसंगति 2. संगतता
compatibility,सुसंगतता
compensation,1. क्षतिपूर्ति 2. मुआवजा
competitive interaction,स्पर्धी अन्योन्यक्रिया
complementary crop,पूरक सस्य
complex,1.सम्मिश्र 2. जटिल
component,घटक
composition,संघटन
compost,कंपोस्ट
compound interest,चक्रवृद्धि ब्याज
computation,अभिकलन
computer,1.अभिकलित्र 2.कंप्यूटर
concentration,1. सांद्रण 2. संकेद्रण
conditioner,1. अनुकूलक 2. पुनरुद्धारक
conductance,चालकता
configuration,1. विन्यास 2. संरूपण
conformity,1. अनुरूपता 2. समविन्यास 3. संरूपता
confounding,1.समाकुलन 2. संकरण
conjugation,संयुग्मन
connective,1. योजी 2. संयोजी
conservation,सरंक्षण
consolidation,चकबंदी
constituents,1.संघटक 2. अवयव
consumer,उपभोक्ता
consumption,उपभोग
contamination,संदूषण
contour planting,समोच्च रोपण
contour,समोच्च रेखा
contract farming,1.संविदा कृषि 2. ठेका कृषि 3. अनुबंधित खेती
controlled storage,नियंत्रित वातावरणीय भंडारण
co-operative bank,सहकारी बैंक
cooperator,सहकारी संस्था सदस्य
coppice,गुल्मवन
corm,घनकंद
corolla,1.दलपुंज 2. कोरोला
cortex,1. वल्कुट 2. कोर्टेक्स
cost,लागत
cotyledon (seed),बीजपत्र
credit society,ऋण समिति
credit,1.उधार 2. साख
creditor,1. ऋणदाता 2. लेनदार
crest,1.शिखा 2. शीर्ष 3. शिखर
crinkle,व्याकुंचन
crisis,संकट
criterion,कसौटी
critical,क्रांतिक
crop insurance,फसल बीमा
crop loan,फसल ऋण
crop,1. सस्य 2. फसल
cropping area,सस्यन क्षेत्र
cross-incompatible,पार-असंगत
crown (plant),1. मुकुट 2. शिखर (पादप)
crumb,मृदुकण
crust,पपड़ी
cryptogam,1. क्रिप्टोगैम 2. अपुष्पीपादप
cull (fruits),छांटन (फल)
culm,कल्म
cultivar,कृष्य किस्म
cultivation,1.कर्षण 2. कृषि 3. खेती
cultivator,1.किसान 2. कल्टीवेटर (यंत्र)
culture,1.संवर्ध 2. संवर्धन 3. पालन
curing,1.संसाधन 2.तैयार करना
curling,1.कुंतलन 2. कुंचन
currency,मुद्रा
cuticle,1. उपत्वचा 2. क्यूटिकल
cutting,1.कलम 2. कटाई 3. काटना 4.कटाग्र 5. कटावा
cyst,1.कृमि कोष 2. सिस्ट 3. पुटी 4.विकृत गुल्म 5. रसौली
cytochrome,साइटोक्रोम
cytogamy,कोशिका युग्मन
cytogenesis,कोशिका जनन
cytogenetics,कोशिका आनुवंशिकी
cytokinesis,कोशिका द्रव्य विभाजन
cytology,कोशिका विज्ञान
cytolysis,कोशिका लयन
cytomere,1. साइटोमियर 2. कोशिका खंड
cytoplasm,कोशिका द्रव्य
dairy,1.डेरी 2. दुग्धशाला
dairying,डेरी उदयोग
dam,1. बांध 2. प्रजननी
day-neutral,दिवस निरपेक्ष पादप
days after flowering,पुष्पन के बाद दिन
days after full bloom,पूर्ण पुष्पन के बाद दिन
deblossoming,निष्पुष्पन
decalcification,विकैल्सीकरण
decant,1. निथारना 2. निस्तारना
decay,क्षय
deciduous,पर्णपाती
decimal,1. दशमिक 2. दशमलव
deficiency,न्यूनता
deflocculation (soil),अनूर्णन (मृदा)
defloration,विपुष्पन
defoliation,विपत्रण
deforestation,वनोन्मूलन
degeneration,अपहासन
degradation,निम्नीकरण
degree days,अंश दिवस
degree,1.मात्रा 2. अंश
dehiscence,स्फुटन
dehulling,भूसी हटाना
dehusking,भूसी हटाना
dehydration,निर्जलीकरण
dehydrator,निर्जलकारित्र
demand,मांग
denaturation,1. विकृतीकरण 2. गुणनाशन
denudation,अनाच्छादन
deposit,1. निक्षेप (मृदा) 2. जमा (अर्थशास्त्र)
deposition,निक्षेपण
depreciation,1. मूल्यहास 2.अवमूल्यन
desalinization,विलवणीकरण
desiccation,1. जल शुष्कन 2. निर्जलीकरण
design,1.अभिकल्पना 2. डिजाइन
dessicator,शुष्कित्र
destoning,गुठली निकालना
desuckering,वि-अंतः भूस्तारीकरण
desynapsis,वियुग्मन
detassel,1. नर मंजरी निकालना (मक्का) 2. बल्लर निकालना
detasseling,बल्लर या कुंदन को काटना
determinant,निर्धारक
devaluation,अवमूल्यन
devegetation,वनस्पतिरहित करना
deviation,विचलन
diad,द्विक
diagnosis,निदान
dichogamy,भिन्नकाल पक्वता
dichotomy,द्विभाजन
dicotyledon (seed),1.दविबीजपत्री 2.डाइकोटिलेड़न (बीज)
die back (disease),पश्चमारी (रोग)
diffusion,1. विसरण 2. विसार
digestibility,पाचनीयता
dihybrid,द्विसंकर
dike (dyke),1. बांध 2. नाली 3. परिवाह
dilute,तनु
dioecious,1. एकलिंगाश्रयी 2. पृथक् लिंगी
diploid,द्विगुणित
diploid,1. द्विगुणित 2. डिप्लॉइड
diplonema,द्विसूत्र
disbudding,1. निष्कलिकायन 2. कलिका निकालना
discing,1. तवेदार हल चलाना 2. चक्काकरण
discount,छूट
disinfection,रोगाणुनाशन
dispersion,1. परिक्षेपण 2. प्रकीर्णन
dissemination,1.प्रकीर्णन 2.प्रसरण
diversification,विविधीकरण
diversified farming,विविधीकृत कृषि
DNA Ladder,डी एन ए सोपान
DNA receptor,डी.एन.ए. ग्राही
dockage,गोदी-भाड़ा
dominant,प्रभावी
dormancy,प्रसुप्ति
dose,1. मात्रा 2. खुराक 3. डोज
douole sigmoid curve,दोहरा सिग्माभ वक्र
draft (draught),1. झोंका 2. खिंचाव
drain,1. निकास नाली 2. अपवाहिका
drainage,जलनिकास
draw,कर्षण
drenching,1.दवा पिलाना 2. दवाई से तर करना
dressing (seed),प्रसाधन (बीज)
drill (n.),1.बरमा 2. उथली भूल 3. ड्रिल 4. वपित्र
drilling (ag. engg),1.सूराख करना 2. बेधन 3. बरमाना
drilling (agronomy),1.वेधना 2. ड्रिल से बोना 3. ड्रिल से डालना
drip irrigation,बूंद-बूंद सिंचाई
dryland farming,शुष्क खेती
dust,1.धूल 2. बुकनी
duster,1.धूलित्र 2. प्रकीर्णक
dusting,बुरकना
dwarf,1. बौना 2. वामन
dwarf pyramid,वामन पिरामिड
dwarfing,वामिनीभवन
ecology,पारिस्थितिकी
econometrics,अर्थमिति
economic efficiency,आर्थिक दक्षता
ecotype,परिस्थितिक प्ररूप
ectotrophic,बहिःस्तरपोषित
edaphic,मृदीय
edaphology,मृदा विज्ञान
edging,1. मेड़बंदी 2. किनारा बनाना 3. किनारा बंदी
edible part,खाद्य अंश
elasticity of demand,मांग की लोच
elasticity of production,उत्पादन लोच
electrolysis,विद्युत्-अपघटन
electrophoresis,वैद्युतकण-संचलन
eluviation,अवक्षालन
emasculator,1.विपुंसीकारित्र 2. बंधकारित्र 3.विपुंसीकार 4. बंध्यकार
embanking,1.मेड़ बंदी 2. डौलबंदी
embryo,भ्रूण
embryology,1. भ्रूणविज्ञान 2. भौणिकी
emergence,1. निकलना 2. निर्गमन
emulsifier,पायसीकारक
endogenous,अंतर्जात
endomitosis,अंतः सूत्री विभाजन
endoparasite,अंतः परजीवी
endosperm,भ्रूणपोष
enterprise,उद्यम
entomology,कीटविज्ञान
environment,पर्यावरण
enzyme,1. प्रकिण्व 2. एन्जाइम
epicotyl grafting,दलपुंज कलमबंदी
epiphyte,1. अधिपादप 2. एपिफाइट
equity,समानधारिता
eradication,उन्मूलन
essential nutrients,आवश्यक पोषक तत्व
estimation,1. परिमापन 2. कूतना 3. आकलन
etiolation,पांडुरता
eugenic,सुजननिक
evaluation,मूल्यांकन
evaporimeter,वाष्पनमापी
evapo-transpiration,वाष्पन-वाष्पोत्सर्जन
evergreen revolution,सदाहरित क्रांति
evergreen,1. सदाहरित 2. सदापर्णी
evolution,विकास
excise,उच्छेद करना
exhaustion (fertility),परिक्षय (उर्वरता)
exploitation,शोषण
exploration,1. खोज 2. अन्वेषण
extrusion,1. बहिर्वेधन 2. उत्सारण
eye (sugarcane/potato),आंख
factor,1. कारक 2. घटक 3. उपादान 4. साधन
factor productivity,कारक उत्पादकता
factorage,आढ़तिये का बट्टा
factorial block design,क्रमगुणित ब्लॉक डिजाइन
facultative,विकल्पी
fallow,1. पड़ती 2. पलिहर
family,कुल
farm appraisal,प्रक्षेत्र मूल्यांकन
farm budgeting,प्रक्षेत्र का बजट बनाना
farm business,कृषि व्यवसाय
farm planning,प्रक्षेत्र नियोजन
farmer,1. किसान 2. कृषक
farming,1. कृषि 2. खेती
fasciation,संघट्टन
fecundation,बहुप्रजनन
fermentation,किण्वन
fertility,उर्वरता
fertilizer,उर्वरक
fertilizer use efficiency,उर्वरक उपयोग दक्षता
fibrous,रेशेदार
field,1. खेत 2. क्षेत्र 3. स्थान
field capacity,मृदा जलधारिता
field demonstration,प्रक्षेत्र प्रदर्शन
fixation,1. स्थिरीकरण 2. यौगिकीकरण 3. निर्धारण
flooding,1. आप्लावन 2. अधिसिंचन
flow diagram,प्रवाह आरेख
food value,खाद्य मान
forage (fodder),चारा
forecasting,पूर्वानुमान
forest,वन
forestation,वनरोपण
frond,1. ताड़पर्ण 2. प्रपर्ण
frost resistant,तुषार रोधी
frost,1.पाला 2. तुषार
frozen (fruit & vegetable),1. हिमशीतित 2. हिमीकृत
fructification,फलन
fruit drop,1. फल पातन 2. फल का झड़ना
fruit -set (fruit setting),फल बनना
fumigation,1. धूमन 2. धूम देना
fungicide,कवकनाशी
fungistatic,कवकरोधी
fungus,कवक
furow,1. खूड़ 2. सीता
fusion,1. संलयन 2. संगलन
fuzz,रूआं
fuzzy,रोएंदार
gall (Hort),1. वृक्ष व्रण 2. पिटिका
gamete,1. युग्मक 2. गैमीट
garden,1. उद्यान 2. बाग
gauge (water),1. पनसाल 2. जलमापी
gene bank,जीन संग्रह
gene tagging,जीन टैगन
geneology,वंशावली विज्ञान
genetic map,जीन मानचित्र
genetics,आनुवंशिकी
genome,1. जीनोम 2. संजीन
genomic library,संजीनी संग्रह
genomics,जीनोमिक्स
genotype,जीनप्ररूपी
genotype,1. जीनी संरचना 2. जीन प्ररूप
genus,वंश
genus,1. जीनस 2. वंश
germ,1. रोगाणु 2. जर्म
germicide,रोगाणुनाशी
germination,अंकुरण
germplasm,1. जननद्रव्य 2. जर्मप्लाज्म
gibberellic acid,जिबरेलिक अम्ल
ginning,ओटना
glume,तुष
glutinous,1. लसदार 2. ग्लूटिनी
glycolysis,ग्लाइकोलिसिस
gneiss,नाइस
golden revolution,स्वर्णिम क्रांति
grading,1. श्रेणीकरण 2. वर्गीकरण 3. स्तरीकरण
grafted plant,1. कलमबंद पादप 2. कलमी पौधा
graft-incompatible,कलम असंगत
granna,ग्रैना
granulation,कणिकायन
green manure,हरी खाद
green revolution,हरित क्रांति
growth and development,वृद्धि और परिवर्धन
gummosis,1. गोंद रोग 2. गोंदार्ति
gynodioecious,भिन्नस्थ - उभयस्त्रीलिंगी
habit,1. प्रकृति 2. स्वभाव 3. रूपगुण 4. स्वरूप
hail,1. ओला 2. करकापात 3. करका
hairyvetch,रोमिलवैच
halophyte,लवणमृदोद्भिद्
harrow,हैरो
harvest index,1. तुड़ाई सूचकांक 2. कटाई सूचकांक
harvest,1.कटाई 2. कटी फसल 3. तैयार फसल 4. उपज
harvesting,1. तोड़ना 2. कटाई 3. तुड़ाई
hatch,1. अंडे से निकलना 2. अंडा सेना
hay,सूखी घास
haylage,सूखा चारा
haystock,गंजी
haze,धुंध
hazy,धुंधता
head (Agro),1. बाली 2. सिट्टा 3.मुंडक 4. शीर्ष 5. सिर 6. सिरा
head (of channel),सिरा (नाली का)
heading back,शीर्ष छंटाई
hedge,बाड़
hedging,अधिरक्षण
helix,कुंडलिनी
hematite,हेमैटाइट
herb,1. शाक 2. बूटी
herbarium,1.वनस्पति संग्रह 2. वनस्पति संग्रहालय
herbicide,शाकनाशी
heredity,आनुवंशिकता
heretability,वंशागतित्व
hermaphrodite,उभयलिंगी
heterochromatic,विषमवर्णी
heterofertilization,विषम-निषेचन
heterosis,1. संकरओज 2. हेटेरोसिस
heterosome,लिंगक्रोमोसोम
heterotroph,परपोषित
hexaploid,षड्गुणित
hibernate,शीत निष्क्रियता
high density planting,उच्च सघनता रोपण
hill (rice),1. पिंडलक 2. हिल (धान)
histogram,आयतचित्र
hitech horticulture,उच्च तकनीकी औद्यानिकी
hive,1.करंड 2. छत्ता
hoeing,1.गुड़ाई 2. गोड़ना
holding,जोत
home farm,निजी फार्म
homeostasis,समस्थिति
homestead,वासभूमि
homogeneity,समांगता
homogenous,1.सजातीय 2. समांगी
homologus,समधर्मी
homozygote,समयुग्मज
hopper,1.खुरलिका 2. खाद्यधानी 3. हापर
horizon,1.संस्तर 2. क्षितिज
horticultural crops,औद्यानिक फसलें
horticulture,1. उद्यान विज्ञान 2. बागवानी 3. उद्यान कृषि 4.औदयानिकी
