English,Hindi,Definition
"accumulation point
", पुंज-बिंदु ,"किसी समुच्चय का कोई ऐसा बिंदु जिसके किसी भी प्रतिवेश में उस बिंदु के अलावा समुच्चय का कम से कम एक और बिंदु उपस्थित हो, चाहे प्रतिवेश कितना ही छोटा क्यों न हो। सर्वत्र सघन समुच्चयों में सभी बिंदु पुंज-बिंदु होते हैं।"
"accuracy 
","1.यथार्थता, 2. शुद्धता ","किसी इंगित मान की एक स्वीकार्य मानक मान के साथ अनुरूपता। जैसे, किसी संदर्भ में 𝛱 का स्वीकार्य मान 22/7 लें तो 3.14 दशमलव के दो स्थानों तक इंगित मान है। "
acute angle ,न्यून कोण ,वह कोण जो परिमाण में समकोण से छोटा होता है (प्रायः समकोण से छोटे धन कोण के लिए प्रयुक्त पद)।
addition ,योग,"एक अंकगणितीय संक्रिया जिसमें दो संकार्य-योजक और योज्य, जुड़ जाते हैं, जिसके फलस्वरूप योगफल प्राप्त हो जाता है।"
additive function ,"योज्य फलन","ऐसा फलन f, जिसमें f (x +y) = f(x) + f(y) हो।"
"additive group 
",योज्य समूह,ऐसा समूह जिसकी संक्रिया योग हो।
"address 
",पता,"1. अभिकलित्र में किसी पंजी, संग्रह-स्थान अथवा अन्य सूचना-स्रोत को पहचानने के लिए स्वीकृत संख्यात्मक या अन्य प्रकार के संकेत आदि।
2. किसी अनुदेश का संकार्य भाग।
3. संदेश-प्रेषण में संदेश पहुंचने के स्थान का प्रतीकात्मक निरूपण।"
addressograph ,"1.ऐड्रसोग्राफ, 2.पता लेखी",ऐसी स्वचालित मशीन जो स्टेंसिल द्वारा पत्रों आदि पर पते छापती है।
adhesion ,"आसंजन
",भिन्न पदार्थों के अणुओं के सानिध्य से परस्पर आकर्षण से उत्पन्न बल।
chi-square distribution,,"यदि x1,x2,....,xk क्रमशः n1, n2,....,nk स्वातंत्र्य कोटि रखने वाले x∧२-यादृच्छिक चर हैं तो k sum i=1 xi भी ksumi=1 n∧i स्वातंत्र्य कोटि रखने वाला एक x²-यादृच्छिक चर होगा ।"
"adfected quadratic equation
", मिश्र द्विघात समीकरण,द्विघात समीकरण का व्यापक रूप ax² + bx + c =0 शुद्ध द्विघात समीकरण ax²+ b = 0 की तुलना में इसमें चर का प्रथम घात वाला पद भी है ।
"aerostatics 
",1. वायु स्थैतिकी 2. अवमानिकी,"गैसों की साम्यावस्था एवं वस्तुओं के गैसों में
साम्यावस्था स्थिति का अध्ययन ।"
"adjoint differential equation 
",संलग्न अकलन समीकरण,"L(y)=𝜌o d∧ny/dx∧n+𝜌1 d∧n-1y/dx∧n-1+......+𝜌n-1 dy/dx+𝜌ny=0 से प्राप्त समीकरण यह है ।  L(y)=(-1)∧n d∧n(𝜌0y)/dx∧n+(-1)∧n-1 d∧n-1(p1y)/dx∧n-1+....... -d(pn-1y)/dx+pny=0
इसे संलग्न अवकल समीकरण कहते हैं। समीकरण और संलग्न समीकरण का संबंध सममित होता है अर्थात L = ० का संलग्न L = ० होता है ।"
"adjoint matrix 
",सहखंडज आव्यूह,"किसी वर्ग आव्यूह A के संदर्भ में उस आव्यूह का परिवर्त जो A के प्रत्येक अवयव के स्थान पर इसके सहखंड को रखने पर प्राप्त होता है। पर्याय -
adjugate matrix"
"adjoint space 
",संलग्न समष्टि,यदि V कोई सदिश समष्टि हो जिससे संबद्ध अदिश क्षेत्र F और V* ऐसे रैखिक फलनों (फलनकों) की समष्टि हो जिनका प्रांत V हो और जिनका परिसर F में अंतर्विष्ट हो तो V* को V की संलग्न समष्टि कहते है ।
aerodynamics ,"वायुगतिकी
",गति विज्ञान की वह शाखा जिसरमे वायु तथा अन्य गैसीय तरलो की गति का तथा इन तरलों के सापेक्ष चलने वाले पिंडो पर लगने वाले बलों का अध्ययन किया जाता है ।
"aerofoil 
",एरोफोयल,दह रपिड या आकृति जिसके पृष्ठ अनुप्रस्थ परिच्छेद का आकार इस प्रकार होता है कि पृष्ठ के आस-पास तरह प्रवाह लगभग अघूर्णी बना रहता है तथा वायु-धारा में रखे जाने पर पर्याप्त मात्रा में उत्थापन और अपेक्षाकृत कम कर्षण (ड्रैग) उत्पन्न होता है ।
affine transformation," सजातीय रूपांतरण
",एक रूपांतरण जिसमें समीकरण x∧-i =a∨ijx∧i+b∧i  के अनुसार बिंदु x∧i बिंदु x∧-i में परिवर्तित होता है जहां अचर aij और b∧i वास्तविक संख्याएं हैं ।
"aggregate 
","पुंज
",सर्वनिष्ठ गुणधर्मो दाला गणितीय अवयरवो का समूह ।
algebra ,"1. बीजगतिणत 2. बीजक्रिया 3. बीजावली
","1. बीजगणित : गणित की वह शाखा जिसमें अंकगणितीय संबंधों के व्यापकीकरण एवं समन्वेषण में संख्याओं, राशियों या (सदिश और आव्यूह जैसी) अन्य गणितीय संकल्पनाओं को निरूपित करने वाले अक्षर प्रतीकों का प्रयोग किया जाता है और निर्दिष्ट नियमों के अनुसार इन अक्षर प्रतीकों की समीकरण के रूप में अभिव्यक्ति जैसी अनेक गणितीय विधियों की सहायता ली जाती है। 
2. बीजक्रिया : किसी निकाय की संक्रियाओं की पद्धति। उदाहरणार्थ : समुच्चयों का सम्मिलन, सर्वनिष्ठ, आदि। 
3. बीजावली : अमूर्त बीजगणित दे० abstract algebra. "
"algebra, abelian algebra 
","1.बीजावली, 2.आबेली बीजावली ","बीजावली का ऐसा सदिश समष्टि V है जिसमें सदिशों के गुणों वाली एक अतिरिक्त द्विआधारी संक्रिया परिभाषित है, जिसके सापेक्ष V एक वलय भी बनाता है व जिसमें 𝛼 (x,y) = (𝛼x)y = x(𝛼यy) जहां x व y सदिश हैं और अदिश 𝛼 है। इसके अतिरिक्त यदि प्रत्येक सदिशों x व y के लिए xy = yx तो ऐसी बीजावली क्रम विनिमेय बीजावली  कहलाती है। "
"algebraic element 
",बीजीय अवयव ,"यदि F कोई क्षेत्र है, K उसका एक विस्तार क्षेत्र है और a𝜖k के लिए F के ऐसे अवयवों 𝛼0+ 𝛼1........... 𝛼n (जिनमें सभी शून्य नहीं हैं) का अस्तित्व है कि 𝛼0a + 𝛼1a∧n-1+....+𝛼n = 0 तो a को F पर एक बीजीय अवयव कहते हैं। यदि K का प्रत्येक अवयव बीजीय है तो K को F पर बीजीय विस्तार कहते हैं।"
algebraic expression ,बीजीय व्यंजक,"वह व्यंजक जिसमें केवल बीजीय प्रतीकों और संक्रियाओं का प्रयोग होता है। जैसे x^2 + 2x + 4,√-x + y आदि।"
algebraic extension ,बीजीय विस्तार,दे० algebraic element
algebraic function ,बीजीय फलन,वह फलन जो एक बीजीय समीकरण के अनुसार स्वतंत्र चर अथवा चरों पर आश्रित होता है।
algebraic number ,बीजीय संख्या,यदि कोई संमिश्र संख्या परिमेय संख्याओं के क्षेत्र पर एक बीजीय अवयव हो तो उसे बीजीय संख्या कहते हैं। दे० algebraic element
algorithm ,"1.कलन-विधि, 2. ऐल्गोरिथ्म",किसी विशेष समस्या के हल के लिए प्रयुक्त कोई गणितीय विधि अथवा प्रक्रम जिसमें किसी निश्चित क्रम में कुछ गणितीय क्रियाएं करके अभीष्ट परिणाम प्राप्त किया जाता है। उदा० महत्तम समापवर्तक निकालने के लिए यूक्लिड की कलन-विधि ।
aliquot part ,"अशेषभाजक खंड, संखंड",वह राशि जिसे किसी निर्दिष्ट राशि को विभाजित करने से कोई शेष न बचे; किसी राशि का कोई गुणनखंड। प्रायः इस शब्द का प्रयोग पूर्णांकों के लिए ही किया जाता है।
allocation problem ,"1.आबंटन समस्या, 2. नियतन समस्या","किसी उद्देश्य की प्राप्ति के लिए स्रोतों का ऐसा आबंटन जिससे उस पर लगाए गए सभी प्रतिबंध संतुष्ट होते हों।
"
allometry," सापेक्षमिति
",संपूर्ण परितंत्र के विकास के सापेक्ष में परितंत्र के एक भाग के विकास का अध्ययन।
almanac," पंचांग
","एक प्रकाशन जिसमें दिए हुए वर्ष के दिनों, सप्ताहों एवं महीनों के अनुसार व्यवस्थित खगोलीय तथा मौसम-विज्ञान संम्बन्धी सामग्री दी होती है, जैसे सूर्य और चंद्र के उदय और अस्त का समय, चंद्र की कलाएं, ग्रहण, ज्वार-भाटे का समय इत्यादि। पंचांग के पांच अंग हैं: तिथि, वार, नक्षत्र, योग तथा करण।"
"almost everywhere
"," सर्वत्रप्राय
","यदि इन बिंदुओं के समुच्चय का माप, जहां पर एक दिया हुआ गुणधर्म संतुष्ट नहीं होता, शून्य है तो वह गुणधर्म सर्वत्रप्राय संतुष्ट कहलाता है।"
almucantar circle ,"उन्नतांश वृत्त
",खगोल का एक लघु वृत्त जो क्षितिज के समांतर होता है और किसी दिए हुए उन्नतांश के सभी बिंदुओं को मिलाता है।
"alternant 
",एकांतरक,"एक सारणिक जो प्राचल a, b, c........ पर निर्भर होती है तथा किन्हीं दो प्राचलों को एक-दूसरे से बदलने पर जिसका (सारणिक का) चिह्न बदलजाता है। उदाहरणार्थ :
∣1 1 1∣
|a b c|
|a∧2 b∧2 c∧2|"
alternate angle ,एकांतर कोण,कोई तिर्यक् छेदी रेखा दो रेखाओं के साथ जो दो आसन्नेतर कोण बनाती है उनमें से कोई एक कोण। ये दो कोण तिर्यक् छेदी रेखा के विपरीत पार्यों में होते हैं।
"alternating group 
",एकांतर समूह,"कोटि n के सममित Sn, समूह के अंतर्गत सभी सम क्रमचयों का समूह। इसे An कहते हैं।"
"alternating series
", एकांतर श्रेणी,"वह श्रेणी जिसके किसी भी पद का चिन्ह अगले पद के चिन्ह के विपरीत होता है ।"
"altitude 
",1. उन्नतांश 2. शीर्षलंब,"1. उन्नतांश : प्रेक्षक के क्षितिज से किसी खगोलीय पिंड की कोणीय दूरी जो उस पिंड से होकर जाने वाले ऊर्ध्वाधर वृत्त की दिशा में ऊपर की ओर मापी जाती है।
2. शीर्षलंब : किसी ज्यामितीय आकृति के शीर्ष से उसके आधार पर खींचा गया लंब रेखा-खंड या उसकी लंबाई।"
"alternate 
",एकांतर,"एक के बाद एक क्रम से होने वाला उपक्रम ।"
alternating  multilinear function ,"एकांतर बहुरैखिक फलन
", वास्तविक बहुरैखिक फलन एकांतर बहुरैखिक फलन कहलाता है यदि किन्हीं दो घटकों के परस्पर विनिमय से फलन के चिन्ह में परिवर्तन हों।
ambiguity ,"संदिग्धता/अस्पष्टता
",वह अवस्था या गुण जिसमें दो या अधिक अर्थों का अस्तित्व हो।
amplitude ,"1. आयाम ,2. कोणांक","1. आयाम किसी कण के सरल आवर्ती दोलन करनेवाले कण का केंद्र से महत्तम विस्थापन। यथा x =a cos (𝜔 t+𝜙) समीकरण में राशि al
2. कोणांक (क) किसी संमिश्र संख्या (x + iy) को निरूपित करने वाले सदिश द्वारा x अक्ष के साथ बनाया गया कोण । संमिश्र संख्या r (cos𝜃 +isin𝜃) में कोण 𝜃 उसका कोणांक है। (ख) ध्रुवीय निर्देशांकों में ध्रुवांतर रेखा (रेडियस वेक्टर) द्वारा प्रारंभिक रेखा के साथ बनाया गया कोण।"
"analogue computer 
","1.अनुरूप अभिकलित्र, 2.अनुरूप कंप्यूटर","संतत आंकड़ों को निरूपित करने वाले संतत चरों पर संक्रिया करके किसी समस्या का हल निकालने वाला अभिकलित्र। इस प्रकार के अभिकलित्र में स्थानांतरण, घूर्णन, वोल्टता आदि भौतिक चरों का प्रयोग होता है।"
"analysis 
",विश्लेषण,"1. (किसी समस्या के संबंध में) दिए गए आंकड़ों, अन्य संबद्ध आंकड़ों, प्राप्य परिणामों तथा बीच के चरणों को गणितीय भाषा में प्रस्तुत करना।
2. गणित की वह शाखा जिसमें मुख्यतः कलन संबंधी विषयों, विशेषतः सीमा-प्रक्रमों का प्रयोग होता है। संस्थिति विज्ञान इसकी एक शाखा है।
समाकलन गणित और अवकलन गणित भी इसके अंतर्गत आते हैं।"
"analytic continuation 
",वैश्लेषिक संतति,"1. यदि फलन किसी प्रांत D में वैश्लेषिक हो, और एक फलन F किसी ऐसे प्रांत D' में वैश्लेषिक हो जो D को उचित रूप से आविष्ट करता हो तथा D के सभी बिन्दुओं z के लिए F(z) = f(2) हो, तो F को फलन f की एक वैश्लेषिक संतति कहते हैं।
2. वैश्लेषिक संतति प्राप्त करने का प्रक्रम।"
"analytic function
", वैश्लेषिक फलन,किसी प्रांत D पर परिभाषित कोई संमिश्रमान फलन किसी बिंदु पर जब वैश्लेषिक माना जाता है जबकि वह बिंदु के प्रत्येक प्रतिवेश में स्थित किसी भी बिंदु पर अवकलनीय हो। कोई फलन किसी समुच्चय में तब वैश्लेषिक होता है जबकि वह समुच्चय के प्रत्येक बिंदु पर वैश्ले षिक हो। पर्याय -holomorphic function
"ancillary statistics
", सहायक आंकड़े,"जिन स्थितियों में पर्याप्त आंकड़े उपलब्ध न हों, वहां कभी-कभी ऐसे आंकड़ों के मिलने की संभावना हो जाती है जो यद्यपि संबंधित प्राचल के बारे में तो कोई सूचना नहीं दे पाते, परन्तु जो किसी उपयुक्त आकलक की मदद से, प्रतिदर्श के बारे में समस्त सूचना उपलब्ध करा देते हैं।"
"angular distance 
",कोणीय दूरी,दो पिंडों के बीच की सरल रेखीय दूरी द्वारा प्रेक्षक (मूल बिंदु) पर अन्तरित कोण ।
"angular velocity 
",कोणीय वेग,कोणीय विस्थापन के समय के सापेक्ष परिवर्तन की दर को कोणीय वेग कहते हैं।
angle ,कोण,"1. दो सरल रेखाओं की एक-दूसरे के सापेक्ष नति।
2. एक ही बिंदु से जाने वाली दो रेखाओं या एक ही रेखा से होकर जाने वाले दो पृष्ठों से बनी हुई आकृति।
3. (क) दो प्रतिच्छेदी रेखाओं में से किसी एक को जिस मात्रा में घुमाने पर वह दूसरी रेखा के साथ संपाती हो जाए, उस घुमाव का माप। (ख) दो प्रतिच्छेदी असमांतर रेखाओं, दो प्रतिच्छेदी समतलों या दो प्रतिच्छेदी वक्रों के अपसरण का माप।
4. एक समुच्चय जिसके सदस्य एक बिन्दु P और P से निकलने वाली दो अर्ध रेखाएं होती हैं। (कभी-कभी यह अपेक्षित होता है कि ये दोनों ऊर्ध रेखाएं एक रेखा पर स्थित न हों)।"
"angular momentum 
",कोणीय संवेग,किसी बिंदु O के सापेक्ष किसी पिंड के संवेग mv तथा स्थिति सदिश का सदिश गुणनफल rx mv.
"anharmonic ratio
", वजानुपात,"किसी रेखा के चार बिंदुओं A,B,C,D के संदर्भ में, अनुपात (x3-X1) (x4-x2)/(x3-X2)(x4-x1) जहां x1,x2,x, x3,x4 क्रमशः इन बिंदुओं के भुज-मान हैं।"
"annihilator 
",शून्यकारी,किसी समुच्चय S के संदर्भ में उन सभी फलनों का समुच्चय जो s के प्रत्येक अवयव को शून्य में प्रतिचित्रित करता हो।
"annual equation 
",वार्षिक समीकार,सूर्य और पृथ्वी की दूरी में एक वर्ष के दौरान होने वाले परिवर्तनों के फलस्वरूप चांद्रमास के परिमाणका घटबढ़। (वर्ष के जिस अर्धभाग में पृथ्वी से सूर्य की दूरी औसत दूरी से कम होती है उसमें चंद्र पर सूर्य का आकर्षण अधिक होने के कारण चांद्रमास का परिमाण बढ़ता है और दूसरे अर्ध भाग में यह कम होता है। एक वर्ष में इस असमानता का अधिकतम मान 11 मिनट 9 सेकंड है)।
"annual parallax 
",वार्षिक लंबन,किसी खगोलीय पिंड की पृथ्वी एवं सूर्य से प्रेक्षित स्थितियों का आभासी अंतर। यह पृथ्वी की कक्षा की त्रिज्या द्वारा पिंड पर अंतरित कोण के बराबर है।
"annular eclipse 
",वलयाकार ग्रहण,ऐसा सूर्य ग्रहण जिसमें सूर्य-बिंब की केवल परिधि पतले वलय के रूप में दिखाई देती है।
"anomalistic month 
",परिमास,"भूमि-नीच (पेरिजी) से पुनः भूमि-नीच तक चंद्र द्वारा पृथ्वी के परिक्रमण में लगा हुआ माध्य समय, जो लगभग 27.554550 दिन होता है।"
"anomalistic year 
",परिवर्ष,"रविनीच (पेरिद्विलियन) से पुनः रविनीच तक पृथ्वी द्वारा सूर्य के परिक्रमण का समय, जो 365 दिन, 6 घंटे, 13 मिनट और 53.1 सेकंड होता है।"
"antapex 
",प्रत्यभिसरण बिंदु,कोलंबा तारामंडल में स्थित और सौर अभिबिंदु के ठीक सामने का वह खगोलीय बिंदु जिससे सौर परिवार लगभग 19.6 कि.मी. प्रति घंटे की दर से पीछे हट रहा है।
antecedent ,"पूर्वपद
","1. यदि एक संयुक्त (मिश्र) साध्य 'p→q' रूप वाला हो तो p को इस साध्य का पूर्वपद कहते हैं।
2. दो राशियों के अनुपात A:B में A पूर्वपद कहलाता है। समानुपात a:b:: c:d,aa cतथा bad क्रमशः पूर्वपद व परपद कहलाते हैं।"
anticlastic surface ,"असदृश-वक्रित पृष्ठ
",वह पृष्ठ अथवा पृष्ठ का वह भाग जिसके प्रत्येक बिंदु पर दोनों मुख्य वक्रता-त्रिज्याएं असमान चिन्हों वाली हों।
antiderivative," प्रति-अवकलज
",वह फलन जिसका अवकलज दिया हुआ फलन हो।
apastron ,"तारोच्च
",युग्म तारों में से किसी एक तारे की कक्षा में वह स्थान जहां यह तारा दूसरे तारे से अधिकतम दूरी पर होता है।
"aperiodic motion 
",अनावर्ती गति,"गति का आवर्ती नियम । यदि D में एक सरल संवृत वक्र C के अंदर a, a...,a, f(2) के शून्यक और b......,b इसके अनन्तक है तो
1 2ni f(2) f(2) dr=Z n(C,a;)-Z n(c, br)जहां कि n(C,a)और n (C,b.) क्रमशः a और b. पर शून्यक व अनन्तक की बहुकता है।"
apex of solar motion ,सौर अभिबिंदु,तारामंडल हरकुलीज की कोर के निकट एक बिंदु जो अभिजित से लगभग 10° दक्षिण-पश्चिम में होता है और जिसकी ओर सूर्य तथा संपूर्ण सौर परिवार 19.6 कि.मी. प्रति सेकंड की चाल से बढ़ता जा रहा है।
aphelion ,"1.सूर्योच्च,2. रवि-उच्च,3. अपसौर",किसी ग्रह या धूमकेतू की कक्षा का वह बिंदु जो सूर्य के केंद्र से अधिकतम दूरी पर होता है। पृथ्वी प्रति वर्ष पहली जुलाई के आस-पास इस बिंदु पर पहुंचती है।
apogee ,भूमि-उच्च,"पृथ्वी के उपग्रह (जैसे, चन्द्रमा या कोई कृत्रिम उपग्रह) की कक्षा का वह बिंदु जो पृथ्वी के केन्द्र से अधिकतम दूरी पर होता है।"
apparent solar time, आभासी सौर समय,धूप-घड़ी द्वारा सूचित समय जिसका माध्य सौर समय से अंतर समय-समीकार (इक्वेशन ऑफ टाइम) के बराबर होता है।
Applied Mathematics ,अनुप्रयुक्त गणित,"गणित की वह शाखा जिसका प्रयोग भौतिक, जैविक एवं सामाजिक विषयों के अध्ययन में होता है। इसके अंतर्गत दृढ़ एवं विरूपणीय पिंडों का बल-विज्ञान, विद्युत् एवं चुंबक सिद्धांत, आपेक्षिकी, विभव-सिद्धांत, ऊष्मागतिकी, जैवगणित एवं सांख्यिकी इत्यादि विषय आते हैं।"
approach ,उपगमन,किसी फलन के मान का उसकी सीमा अथवा सीमा के रूप में स्वीकृत किसी निश्चित संख्या के अत्यंत निकट होने की अवस्था ।
apsos ,स्तदब्धिका,किसी खगोलीय पिंड की कक्षा का वह रबिदु जहां रपिड आकर्षण-केन्द्र से अधिकतम अथवा अल्पतम दूरी पर होता है ।
arc ,चाप,किसी वक्र रेखा या वक्र पथ का कोई संतत भाग । दे० curve
Archimedes principle ,आर्किमिडीज सिद्धांत,"तरल-यांत्रिकी का आर्किमिडीज द्वारा स्थापित निम्नलिखित सिद्धांतः-
किसी पिंड को किसी तरल में पूर्णतः अथवा अंशतः निमज्जित करने पर उसके भार में आभासी कमी आती है जो उसके द्वारा विस्थापित तरल के भार के बराबर होती है।"
area ,"1. क्षेत्र, 2 क्षेत्रफल","1. क्षेत्रः किसी आकृति का पृष्ठीय विस्तार ।
2 क्षेत्रफल : किसी आकृति के पृष्ठीय विस्तार का माप । भुजाओं x और y वाले आयत का क्षेत्रफल xy है। किसी परिबद्ध समतल समुच्चय का क्षेत्रफल उस समुच्चय के अंतर्गत अनतिव्यापी आयतों के परिमित समूह के क्षेत्रफलो के योग का लघुत्तम उपरि परिवध 𝛼 . अथवा ऐसे ही समूह के क्षेत्रफलों के योग का वृहत्तम निम्न परिवंध 𝛽  होता है। इन दोनों स्थितियों में लिए गए सभी आयतों द्वारा संपूर्ण क्षेत्र ढक जाता है और अंततोगत्वा  𝛼= 𝛽 होता है।
"
areal accleration," क्षेत्रीय त्वरण
",क्षेत्रीय वेग का समय के सापेक्ष परिवर्तन की दर को क्षेत्रीय त्वरण कहते हैं।
Argand diagram ,"आरगां आरेख
","ऐसे दो लाबिक अक्षों का तंत्र जिनमें एक अक्ष संमिश्र संख्या के वास्तविक भाग को निरूपित करता है और दूसरा शुद्ध अधिकल्पित भाग को निरूपित
करता है। इस तरह संमिश्र संख्याओं को आलेखित करने के लिए एक निर्देश-तंत्र प्राप्त हो जाता है।"
argument of a complex number ,संमिश्र संख्या का कोणांक,दे. amplitude
argument principle ,कोणांक नियम,"माना कि f(z), D में एक वैश्लेषिक फलन है जिसकी विचित्रायें केवल अनन्तक हैं।"
arithemetic ,अंकगणित,"गणित की वह शाखा जिसमें वास्तविक संख्याओं के गुणधर्मो एवं संबंधों का अध्ययन किया जाता है तथा मुख्यतः संकलन, व्यवकलन, गुणन एवं भाग की सहायता से इन संख्याओं के अभिकलन के संबंध में बताया जाता है।"
arithmetical progression," समांतर श्रेढ़ी
",संख्याओं अथवा राशियों का वह अनुक्रम जिसमें किसी संख्या और उसके ठीक पहले आने वाली संख्या का अंतर सदैव समान रहता हो।
