add,योग करना,जोड़ना,,,,,,,,,,,,
addition,योग,जोड़,संकलन (सं.),योगात्मक (वि.),,,,,,,,,,
additional tone,संयोजी स्वर,अतिरिक्त टोन (स्वर),,,,,,,,,,,,
additive,योज्य,योगात्मक,,,,,,,,,,,,
adhesion,आसंजन,,,,,,,,,,,,,
adhesional energy,आसंजी ऊर्जा,,,,,,,,,,,,,
adiabat,ऐडियाबैट,,,,,,,,,,,,,
adiabatic,रुद्धोष्म,,,,,,,,,,,,,
adiathermanous,उष्मा-अपार्य,,,,,,,,,,,,,
adjacent,संलग्न,,,,,,,,,,,,,
adjustable,समायोज्य,,,,,,,,,,,,,
admittance,प्रवेश्यता,,,,,,,,,,,,,
adsorption,अधिशोषण,,,,,,,,,,,,,
advanced,अग्रगत,,,,,,,,,,,,,
advancing,प्रगामी,,,,,,,,,,,,,
aerial,आकाशी,वायव (वि.),एरियल (सं.),,,,,,,,,,,
aerial current,ऐन्टेना धारा,,,,,,,,,,,,,
aerial survey,आकाशी सर्वेक्षण,,,,,,,,,,,,,
aerial velocity,वायव वेग,,,,,,,,,,,,,
aerodynamic coefficient,वायुगतिक गुणांक,,,,,,,,,,,,,
aerodynamic,वायुगतिक,,,,,,,,,,,,,
aerodynamics,वायुगतिकी,,,,,,,,,,,,,
aeronautical,वैमानिक,,,,,,,,,,,,,
aeronautics,वैमानिकी,,,,,,,,,,,,,
aeropulse,वायुस्पंद,,,,,,,,,,,,,
aerosphere,वातमंडल,गैसमंडल,,,,,,,,,,,,
afocal system,अफोकसी तंत्र,,,,,,,,,,,,,
after burning,पश्च ज्वलन,,,,,,,,,,,,,
after glow,पश्च दीप्ति,,,,,,,,,,,,,
aftershock,उत्तरघात,,,,,,,,,,,,,
age,वय,आयु,उम्र  ,युग (सं.) ,कालप्रभावित करना (क्रि.),काल,कालप्रभावित होना,,,,,,,
aged,कालप्रभावित,,,,,,,,,,,,,
ageing (aging),कालप्रभावन,जरण,,,,,,,,,,,,
aging (=ageing),कालप्रभावन,,,,,,,,,,,,,
aging test,कालप्रभावन परीक्षण,,,,,,,,,,,,,
agravic,गुरुत्वहीन,,,,,,,,,,,,,
aim,संधान,,,,,,,,,,,,,
airborne radar,वायुवाहित रेडार,हवाई रेडार,,,,,,,,,,,,
airborne target,वायुवर्ती लक्ष्य,हवाई लक्ष्य,,,,,,,,,,,,
air breather,वायुश्वासी,वायुश्वसित्र,,,,,,,,,,,,
air conditioning,वातानुकूलन,,,,,,,,,,,,,
aircore transformer,वायुक्रोडी ट्रांसफार्मर,,,,,,,,,,,,,
aircraft,वायुयान,,,,,,,,,,,,,
alignment,संरेखण,,,,,,,,,,,,,
alignment error,सरेखण त्रुटि,,,,,,,,,,,,,
alive circuit,सजीव परिपथ,,,,,,,,,,,,,
all glass tube,संपूर्ण कांच नलिका,,,,,,,,,,,,,
all metal tube,संपूर्ण धातुनलिका,,,,,,,,,,,,,
allocate,नियत करना,,,,,,,,,,,,,
alloy,मिश्रातु (सं.),मिश्रात्वन (क्रि.),,,,,,,,,,,,
alloying,मिश्रात्वन,,,,,,,,,,,,,
all-pervading medium,सर्वव्यापी माध्यम,,,,,,,,,,,,,
all-wave antenna,सर्वतरंग ऐन्टेना,,,,,,,,,,,,,
almanac,पंचांग,,,,,,,,,,,,,
alpha,ऐल्फा,,,,,,,,,,,,,
alpha-activity,ऐल्फा-सक्रियता,,,,,,,,,,,,,
alphabetical,अक्षरांकीय,,,,,,,,,,,,,
alpha ray,ऐल्फा किरण,,,,,,,,,,,,,
alteration,परिवर्तन,,,,,,,,,,,,,
alternating,"एकांतर ,प्रत्यावर्ती",,,,,,,,,,,,,
alternator,प्रत्यावर्तित्र,,,,,,,,,,,,,
altigraph,तुंगतालेखी,,,,,,,,,,,,,
altimeter,तुंगतामापी,,,,,,,,,,,,,
altimetry,तुंगतामापिकी,,,,,,,,,,,,,
altitude,तुंगता,उंचाई,उन्नतांश,शीर्षलम्ब,,,,,,,,,,
ALU (Arithmatic Logic Unit),अंकगणित तर्क एकक (ए एल यू),,,,,,,,,,,,,
Amagat law,एमागेट नियम,,,,,,,,,,,,,
ambient,परिवेश,,,,,,,,,,,,,
amicron,एमाइक्रोन,,,,,,,,,,,,,
amméter,ऐमीटर,,,,,,,,,,,,,
ampere,ऐम्पियर,,,,,,,,,,,,,
Ampere's rule,ऐम्पियर-नियम,,,,,,,,,,,,,
amphoteric ion,उभयावेशी आयन,,,,,,,,,,,,,
amplification,प्रवर्धन,,,,,,,,,,,,,
amplifier,प्रवर्धक,,,,,,,,,,,,,
amplitude,कोणांक,आयाम,,,,,,,,,,,,
a. m. u. (atomic mass unit),ए. एम. यू. (परमाणु संहति मात्रक),,,,,,,,,,,,,
analog (=analogue),अनुरूप,,,,,,,,,,,,,
analogy,सादृश्य,,,,,,,,,,,,,
analyser,विश्लेषक,,,,,,,,,,,,,
analysis,विश्लेषण,,,,,,,,,,,,,
analytical,विश्लेषीय,,,,,,,,,,,,,
anastigmatic,अन-अबिन्दुक,,,,,,,,,,,,,
anastigmatism,अन-अबिंदुकता,,,,,,,,,,,,,
AND gate,तथा द्वार,,,,,,,,,,,,,
anechoic,अप्रतिध्वनिक,,,,,,,,,,,,,
anelasticity,विषम प्रत्यास्थता,,,,,,,,,,,,,
aneroid,निर्द्रव,,,,,,,,,,,,,
angle,कोण,,,,,,,,,,,,,
Angstrom unit,ऐंग्स्ट्रम मात्रक,,,,,,,,,,,,,
angular,कोणीय,,,,,,,,,,,,,
angular vernier,कोणमापी वर्नियर,,,,,,,,,,,,,
anharmonic,अप्रसंवादी,,,,,,,,,,,,,
anharmonicity,अप्रसवादिता,,,,,,,,,,,,,
anhysteresis,अशैथिल्य चुंबकन,,,,,,,,,,,,,
anhysteretic,अशिथिलित,,,,,,,,,,,,,
anion,ऋणायन,,,,,,,,,,,,,
anisodimensional,असमविम,,,,,,,,,,,,,
anisotropic,विषमदैशिक,,,,,,,,,,,,,
anisotropy,विषमदैशिकता,,,,,,,,,,,,,
annihilation,विलोपन,,,,,,,,,,,,,
annunciator,आख्यापित्र,,,,,,,,,,,,,
anode,ऐनोड,,,,,,,,,,,,,
anodize,ऐनोडीकरण,,,,,,,,,,,,,
anomalous,अंसगत,,,,,,,,,,,,,
anoptic system,प्रकाशयंत्रहीन तंत्र,,,,,,,,,,,,,
antenna,ऐन्टेना,,,,,,,,,,,,,
antibaryon,ऐन्टिबेरियॉन,,,,,,,,,,,,,
antibinding property,बंधन विरोधी गुणधर्म,,,,,,,,,,,,,
anitibonding,प्रति-आबंधन,,,,,,,,,,,,,
antiferroelectricity,प्रतिलोह विद्युत,,,,,,,,,,,,,
antiferromagnetic,प्रतिलोहचुंबकीय,,,,,,,,,,,,,
antiferromagnetics,प्रतिलोहचुबकीय पदार्थ,,,,,,,,,,,,,
antifoggant,प्रतिकूहाकारक,,,,,,,,,,,,,
antigravity,प्रतिगुरुत्व,,,,,,,,,,,,,
anti-lambda particle,प्रतिलेम्डा कण,,,,,,,,,,,,,
anti-lepton,ऐल्टीलेप्टॉन,,,,,,,,,,,,,
antimagnetic,प्रतिचुंबकीय,,,,,,,,,,,,,
antimatter,ऐन्टिद्रव्य,,,,,,,,,,,,,
antimissile,मिसाइल विरोधी,,,,,,,,,,,,,
antineutron,ऐन्टिन्यूट्रॉन,,,,,,,,,,,,,
antinode,प्रस्पंद,,,,,,,,,,,,,
antinucleon,प्रतिन्यूक्लिऑन,,,,,,,,,,,,,
antiparticle,प्रतिकण,,,,,,,,,,,,,
antiproton,प्रतिप्रोटॉन,,,,,,,,,,,,,
antireflection,परावर्तनरोधी,,,,,,,,,,,,,
antisymmetric,प्रतिसममित,,,,,,,,,,,,,
aperiodical,अनावर्ती,,,,,,,,,,,,,
aperiodicity,अनावर्तिता,,,,,,,,,,,,,
apertural disc,छिद्रित क्रमवीक्षण डिस्क,,,,,,,,,,,,,
aperture,द्वारक,,,,,,,,,,,,,
apex,शीर्ष,शिखर,अग्रक,,,,,,,,,,,
aphelion,सूर्योच्च,रवि उच्च,अपसौर,,,,,,,,,,,
aplanat,अविपथी लेस,,,,,,,,,,,,,
aplanatic,अविपथी,,,,,,,,,,,,,
aplanatism,अविपथिता,,,,,,,,,,,,,
apochromatic,अति अवर्णी,,,,,,,,,,,,,
apogee,भूमि-उच्च,अपभू,,,,,,,,,,,,
apolar,अध्रुवी,परिध्रुवी,,,,,,,,,,,,
apolarity,परिध्रुविता,,,,,,,,,,,,,
apparatus,उपकरण,,,,,,,,,,,,,
apparent,आभासी,दृष्ट,,,,,,,,,,,,
apparent sun,दृष्ट सूर्य,,,,,,,,,,,,,
apparent time,दृष्ट समय,,,,,,,,,,,,,
appearance,उदभावी,प्रकटन,,,,,,,,,,,,
appliance,अनुप्रयुक्ति,,,,,,,,,,,,,
applicability,अनुप्रयोज्यता,,,,,,,,,,,,,
applied,अनुप्रयुक्त,,,,,,,,,,,,,
appreciable,सुप्रेक्ष्य,,,,,,,,,,,,,
approach,उपगमन,,,,,,,,,,,,,
approximate,सन्निकट,लगभग,,,,,,,,,,,,
approximation,सन्निकटन,,,,,,,,,,,,,
aqueous tension,वाष्प दाब,,,,,,,,,,,,,
arbitrary,स्वेच्छ,,,,,,,,,,,,,
arc furnace,आर्क भट्टी,चाप भट्टी,,,,,,,,,,,,
Archimedes principle,आर्किमीडीज़ का नियम,,,,,,,,,,,,,
architectural acoustics,स्थापत्य ध्वानिकी,,,,,,,,,,,,,
arc lamp,आर्क लैंप,,,,,,,,,,,,,
arc spectrum,आर्क-स्पेक्ट्रम,,,,,,,,,,,,,
area,क्षेत्र,क्षेत्रफल,,,,,,,,,,,,
areal,क्षेत्रफलीय,क्षेत्रीय,,,,,,,,,,,,
arm,बाहु,भुजा,शाखिका,,,,,,,,,,,
armature,आमेचर,,,,,,,,,,,,,
array,"व्यूह ,सरणी",,,,,,,,,,,,,
arrester,प्रग्राही,,,,,,,,,,,,,
articulation,उच्चारण स्पष्टता,,,,,,,,,,,,,
artificial,कृत्रिम,,,,,,,,,,,,,
artificial transmutation,कृत्रिम तत्वांतरण,,,,,,,,,,,,,
ascending,आरोही,,,,,,,,,,,,,
ascension of the star,तारारोहण,,,,,,,,,,,,,
ascent,आरोहांक,,,,,,,,,,,,,
aspheric,अगोली,,,,,,,,,,,,,
aspherizing,अगोलीकरण,,,,,,,,,,,,,
assemblage,समुच्चय,,,,,,,,,,,,,
assemble,समुच्चय करना,समुच्चयन,,,,,,,,,,,,
assembly (=assemblage),समुच्चय,"समुच्चयन ,कोडांतरण",,,,,,,,,,,,
assessment of accuracy,परिशुद्धता आकलन,,,,,,,,,,,,,
assigned assignment (of quantum numbers),निर्दिष्ट (क्वांटम संख्याओं का) निर्दिष्टीकरण,,,,,,,,,,,,,
associated,संबंद्ध,सहचारी,संगुणित,,,,,,,,,,,
assonance,स्वरावृत्ति,,,,,,,,,,,,,
astable multivibrator (=free running multivibrator),स्वचलित बहुकंपित्र,,,,,,,,,,,,,
astatic,अस्थैतिक,,,,,,,,,,,,,
astigmatism,अबिन्दुकता,एस्टिग्मेटिज्म,,,,,,,,,,,,
astrionics,अंतरिक्ष यात्रा इलेक्ट्रॉनिकी,,,,,,,,,,,,,
astrometry,खगोलमिति,,,,,,,,,,,,,
astronaut,अंतरिक्षयात्री,,,,,,,,,,,,,
astronomer,खगोलज्ञ,,,,,,,,,,,,,
astronomical,खगोलीय,,,,,,,,,,,,,
astronomy,खगोलिकी,,,,,,,,,,,,,
astrophysics,खगोल भौतिकी,,,,,,,,,,,,,
asymmetrical,असममित,,,,,,,,,,,,,
asymptote,अनंतस्पर्शी,,,,,,,,,,,,,
asymptotic,उपगामी,,,,,,,,,,,,,
asynchronous,अतुल्यकालिक,,,,,,,,,,,,,
atmosphere,वायुमंडल,परिमंडल,,,,,,,,,,,,
atmospheric,वायुमंडलीय,,,,,,,,,,,,,
atmospherics,वायु-विद्युत क्षोभ,,,,,,,,,,,,,
atom,परमाणु,,,,,,,,,,,,,
atomic,परमाण्वीय,,,,,,,,,,,,,
atomicity,परमाणुकता,,,,,,,,,,,,,
atomic mass,परमाणु संहति,,,,,,,,,,,,,
atomic number,परमाणु क्रमांक,,,,,,,,,,,,,
atomic reactor (=atomic pile),परमाणु-रिऐक्टर,परमाणु पाइल,,,,,,,,,,,,
atomistic,परमाण्विक,,,,,,,,,,,,,
atomization,कणन,,,,,,,,,,,,,
atomizer,कणित्र,,,,,,,,,,,,,
attenuation,क्षीणन,क्षीणता,,,,,,,,,,,,
attenuator,क्षीणकारी,क्षीणक,,,,,,,,,,,,
attraction,आकर्षण,,,,,,,,,,,,,
attractive forces,आकर्षण बल,,,,,,,,,,,,,
audibility,श्रव्यता,,,,,,,,,,,,,
audio-amplifier,श्रव्य आवृत्ति-प्रवर्धक,,,,,,,,,,,,,
audio,श्रव्य,,,,,,,,,,,,,
audio generator,श्रव्यजनित्र,,,,,,,,,,,,,
audiogram,श्रव्यता आलेख,,,,,,,,,,,,,
audiology,श्रवण विज्ञान,,,,,,,,,,,,,
audiometer,श्रव्यतामापी,,,,,,,,,,,,,
audio oscillator,श्रव्य आवृत्ति-दोलक,,,,,,,,,,,,,
audio signal,ध्वनि सिग्नल,,,,,,,,,,,,,
audiovisual,दृश्य-श्रव्य,,,,,,,,,,,,,
auditorium,ऑडिटोरियम,सभाभवन,,,,,,,,,,,,
Auger effect,ओज़ए प्रभाव,,,,,,,,,,,,,
augmentation,संवर्धन,,,,,,,,,,,,,
augmentor,संवर्धक,,,,,,,,,,,,,
aurora,ध्रुवीय ज्योति,,,,,,,,,,,,,
aurora australis,दक्षिण ध्रुवीय ज्योति,,,,,,,,,,,,,
aurora borealis,उत्तर ध्रुवीय ज्योति,,,,,,,,,,,,,
autoalarm,स्वचालित सचेतक,,,,,,,,,,,,,
autocollimator,स्वतः समांतरित्र,,,,,,,,,,,,,
automatic,आत्मचालित,स्वचालित,स्वतः,,,,,,,,,,,
automation,स्वचालन,स्वचालित यंत्र,,,,,,,,,,,,
auxiliary,सहायक,सहकारी,अतिरिक्त,,,,,,,,,,,
avalanche,अवधाव,ऐवेलांश,,,,,,,,,,,,
average,औसत,माध्य,,,,,,,,,,,,
avoidance,परिवर्जन,,,,,,,,,,,,,
axial,अक्षीय,,,,,,,,,,,,,
axis,अक्ष,,,,,,,,,,,,,
azimuth,दिगंश,,,,,,,,,,,,,
azimuthal,दिगंशीय,,,,,,,,,,,,,
back,पश्च,,,,,,,,,,,,,
background,पृष्ठभूमि,पृष्ठभूमिक,,,,,,,,,,,,
backlash,पिच्छद,पश्चगमन,,,,,,,,,,,,
backout,प्रतिवर्तन,,,,,,,,,,,,,
back swing voltage pulser,पश्चडोल वोल्टता स्पंदक,,,,,,,,,,,,,
back to back connection,पश्च-पश्च-संबंधन,,,,,,,,,,,,,
back up,पूर्तिकर,,,,,,,,,,,,,
back voltage (Freverse voltage),विरोधी वोल्टता,,,,,,,,,,,,,
backward scattering,पश्चवर्ती प्रकीर्णन,,,,,,,,,,,,,
back wave (=spacing wave),अंतराली तरंग,,,,,,,,,,,,,
bad conductor,कुचालक,,,,,,,,,,,,,
bail out,पैराशूट सहित कूद पड़ना,,,,,,,,,,,,,
bakeout,तपन,,,,,,,,,,,,,
balance,तुला,तराजू ,बाकी ,संतुलित करना,संतुलित होना,संतुलन ,शेष,,,,,,,
balancer,संतोलक,,,,,,,,,,,,,
balancing,संतुलन,,,,,,,,,,,,,
ball ended magnet,गोलात चुबक,,,,,,,,,,,,,
ballistic,प्राक्षेपिक,प्राक्षेपिकीय,,,,,,,,,,,,
ballistic galvanometer,प्रक्षेप धारामापी,प्रक्षेप गैल्वनोमीटर,,,,,,,,,,,,
ballistic missile,प्रक्षेपास्त्र,,,,,,,,,,,,,
ballistics,प्राक्षेपिकी,अस्त्र विज्ञान,,,,,,,,,,,,
ballistic throw,प्रक्षेप,,,,,,,,,,,,,
ballistic trajectory,मुक्त प्रक्षेप पथ,,,,,,,,,,,,,
balloon,बैलून,गुब्बारा,,,,,,,,,,,,
Balmer discontinuity,बामर-असातत्य,,,,,,,,,,,,,
band,पट्ट,पट्टी,बैंड .दल,,,,,,,,,,,
bang,धमाका,,,,,,,,,,,,,
bank,व्यूह,पुंज ,किनारा,बैंक,तट,,,,,,,,,
bar,स्तंभ,शलाका,सिल,सिल्ली,दंड,छड़,पट्टी ,भित्ति,रेखिका ,धार,रोधिका,बार ,रेखा,परीक्षण रेखा
Bardeen theory,बारडीन सिद्धांत,,,,,,,,,,,,,
Barkhausen effect,बार्कहाउज़एन प्रभाव,,,,,,,,,,,,,
Barlow's wheel,बार्लो चक्र,,,,,,,,,,,,,
bar magnet,दंड चुबंक,,,,,,,,,,,,,
barn,बार्न,,,,,,,,,,,,,
barogram,वायुदाब-आलेख,,,,,,,,,,,,,
barograph,वायुदाबलेखी,बैरोग्राफ,,,,,,,,,,,,
barometer,वायुदाबमापी,,,,,,,,,,,,,
barometry,वायुदाबमिति,,,,,,,,,,,,,
barosphere,कर्षमंडल,बैरोमंडल,,,,,,,,,,,,
bar pendulum,दंड लोलक,,,,,,,,,,,,,
barrier,रोध,रोधिका ,नाभिकीय रोधिका,,,,,,,,,,,
barrier layer (rectifier)=blocking layer -depletion layer =space charge layer,रोधिका स्तर,,,,,,,,,,,,,
baryon,बरिऑन,,,,,,,,,,,,,
barysphere,गुरुमंडल,,,,,,,,,,,,,
base band,आधार बैंड,,,,,,,,,,,,,
basic,आधारीय,मूल ,क्षारीय,,,,,,,,,,,
basis,आधारक,,,,,,,,,,,,,
batching,गणन,दल रचना,,,,,,,,,,,,
bath,कुंड,कुंडिका,ऊष्मक,तापन-पात्र,बाथ,,,,,,,,,
battery,बैटरी,,,,,,,,,,,,,
bay,व्यूह खंड,कक्ष,खाड़ई,,,,,,,,,,,
B-display,प्रदर्श,,,,,,,,,,,,,
beacon,कीबन,,,,,,,,,,,,,
bead,मणिका,बीड,,,,,,,,,,,,
beam,दंड,बीम, किरण पुंज ,तुर,,,,,,,,,,
bearing,दिक्मान,दिक्कोण,,,,,,,,,,,,
beat,डोल ,विस्पंद,,,,,,,,,,,,
Becqueral effect,बैकेरल प्रभाव,,,,,,,,,,,,,
bell jar,बेलजार,घंटाकार ढकना,,,,,,,,,,,,
bellow,धौंकनी,,,,,,,,,,,,,
bell shaped,घंटाकार,,,,,,,,,,,,,
bench,वेदिका,बेंच,,,,,,,,,,,,
bend,मोड,बंक (सं.),मोड़ना (क्रि.),,,,,,,,,,,
bending,बंकन,,,,,,,,,,,,,
bent,मुड़आ,बंकित,,,,,,,,,,,,
Bernoulli's equation,बर्नूली-समीकरण,,,,,,,,,,,,,
Bessel function,बेसल-फलन,,,,,,,,,,,,,
best fit,श्रेष्ठतम आसंजन,,,,,,,,,,,,,
beta (भ्),बीटा (भ्),,,,,,,,,,,,,
betatron,बीटाट्रॉन,,,,,,,,,,,,,
Bethe's model,बेथे निदर्श,,,,,,,,,,,,,
bevatron,बिवाट्रॉन,,,,,,,,,,,,,
B-H curve,B-H वक्र,,,,,,,,,,,,,
biangular,द्विकोणीय,,,,,,,,,,,,,
bias,अभिनति,बायस,,,,,,,,,,,,
biaxial,द्वि-अक्षीय,,,,,,,,,,,,,
bichromate cell,बाइक्रोमेट सेल,,,,,,,,,,,,,
biconcave,अभयावतल,,,,,,,,,,,,,
biconical aerial,द्विशंकु ऐन्टेना,,,,,,,,,,,,,
biconvex,उभयोत्तल,,,,,,,,,,,,,
bicrystal,द्वि-क्रिस्टल,द्विक क्रिस्टल,,,,,,,,,,,,
bidirectional microphone,द्विदिशी माइक्रोफोन,,,,,,,,,,,,,
bifactor model,द्वि-उपादानीय निदर्श,,,,,,,,,,,,,
bifilar,द्विसूत्री,,,,,,,,,,,,,
bilateral,द्विपार्श्विक,,,,,,,,,,,,,
bilinear,द्विरैखिक,,,,,,,,,,,,,
bimolecular,द्वि-अणुक,,,,,,,,,,,,,
binary,द्वि-चर,द्वि-आधारी,द्वयी,,,,,,,,,,,
binary code,द्वि-आधारी कोड,द्वि-आधारी कूट,,,,,,,,,,,,
binary star,युग्मतारा,,,,,,,,,,,,,
binary system,द्वि-आधारी पद्धति,,,,,,,,,,,,,
binaural,"द्विकर्णी ,द्विपथी",,,,,,,,,,,,,
binding,बंधन,,,,,,,,,,,,,
binocular,द्विनेत्री,बाइनाक्युलर,,,,,,,,,,,,
binode,द्विनोड,,,,,,,,,,,,,
binomial distribution,द्विपद बंटन,,,,,,,,,,,,,
binuclear,द्विकेन्द्रीय,द्विकेन्द्रकी ,द्विन्यूक्लीय,,,,,,,,,,,
biodynamics,जैव-गतिकी,,,,,,,,,,,,,
bioelectronics,जैव इलेक्ट्रानिकी,,,,,,,,,,,,,
biophysicist,जीव-भौतिकीविज्ञ,,,,,,,,,,,,,
biophysics,जीव-भौतिकी,,,,,,,,,,,,,
biosatellite,जैविक उपग्रह,,,,,,,,,,,,,
bioscope,चलचित्रदर्शी,बायोस्कोप,,,,,,,,,,,,
Biot-Savart'law,बायो-सावर्ट नियम,,,,,,,,,,,,,
biphase current,द्विप्रावस्थिक धारा,,,,,,,,,,,,,
bipolar,द्विध्रुवीय,,,,,,,,,,,,,
biprism,द्विकप्रिज्म,बाइप्रिज्म,,,,,,,,,,,,
biquartz,द्विस्फटिक,बाइक्वार्ट्ज,,,,,,,,,,,,
bistable characteristics,द्विस्थितिक अभिलक्षण,,,,,,,,,,,,,
bistable multivibrator,द्विस्थितिक बहुकंपित्र,,,,,,,,,,,,,
bit,द्वयंक* (द्विआधारी अंक) ,बरमी ,अणी,टूक,,,,,,,,,,
black,काला,कृष्ण,,,,,,,,,,,,
black body,कृष्णिका,,,,,,,,,,,,,
black light,अदृश्य प्रकाश,,,,,,,,,,,,,
black out,तिमिरायन,रेडियो तिमिरायन,,,,,,,,,,,,
black out pulse (=blanking pulse),लोपन स्पंद,,,,,,,,,,,,,
black out voltage (=cut of bias),अंतक बायस,,,,,,,,,,,,,
black radiation,कृष्ण विकिरण,,,,,,,,,,,,,
blank,असंपूर्त,रिक्त,,,,,,,,,,,,
blanketing,समाच्छादन,,,,,,,,,,,,,
blanking,लोपन,,,,,,,,,,,,,
blast,स्फोटन ,वात्या,झोंका,,,,,,,,,,,
bleeder,साविका,ब्लीडर ,सावी,,,,,,,,,,,
blind,प्रच्छन्न ,अंध,,,,,,,,,,,,
Bloch theorem,ब्लॉख प्रमेय,,,,,,,,,,,,,
blocking,अवरोध,अवरोधन,अवरोधी,,,,,,,,,,,
blow,आघात,ब्लो ,धमन,,,,,,,,,,,
blue print,ब्लू प्रिंट,,,,,,,,,,,,,
blur circle,अस्पष्टता-वृत्त,,,,,,,,,,,,,
blurred,अस्पष्ट,,,,,,,,,,,,,
bob,गोलक,गोला,लटकन,,,,,,,,,,,
body,पिंड,वस्तु,,,,,,,,,,,,
body capacitance,कायिक धारिता,,,,,,,,,,,,,
body centred,अंत:केन्द्रित,,,,,,,,,,,,,
body diagonal,पिंड-विकर्ण,अन्त:-विकर्ण,,,,,,,,,,,,
bogie,बोगी,अज्ञात संसूचन (रडार),,,,,,,,,,,,
Bohr effect,बोर प्रभाव,,,,,,,,,,,,,
Bohr magneton,बोर मैग्नेटॉन,,,,,,,,,,,,,
boiler,क्वथित्र,बॉयलर,,,,,,,,,,,,
boiling,क्वथन,उबालना,,,,,,,,,,,,
Boltzmann equation,बोल्ट्समान समीकरण,,,,,,,,,,,,,
bombarding electron,बमबार इलेक्ट्रॉन,,,,,,,,,,,,,
bombarding energy,अभिघातक ऊर्जा,बमकारी ऊर्जा,,,,,,,,,,,,
bond,बंधक,,,,,,,,,,,,,
bonding,आबंधक,आबंधी,आबन्धन,,,,,,,,,,,
booster,अभिवर्धक,,,,,,,,,,,,,
boron,बोरॉन,,,,,,,,,,,,,
Bose particle,बोस-कण,,,,,,,,,,,,,
boson,बोसॉन,,,,,,,,,,,,,
bounce,झंप,उच्छलन,,,,,,,,,,,,
bound,परिबद्ध,,,,,,,,,,,,,
boundary,परिसीमा,सीमा (सं.),सीमांत (वि.),,,,,,,,,,,
bound,बद्ध,,,,,,,,,,,,,
bow,धनु,गज़,,,,,,,,,,,,
bow wave,नौकाग्र तरंग,,,,,,,,,,,,,
Boyle point,बॉयल ताप,,,,,,,,,,,,,
