WID,EngWrd,HIN01
49,absorption  of credit,ऋण खपाना
50,absorption of a company,कंपनी का आमेलन
51,absorptive capacity,अवशोषण क्षमता
52,abstinence theory of  interest,ब्याज का उपभोग स्थगन सि‍द्धांत
53,abstract budget,बजट-सार
54,abstract labour,अमूर्त श्रम
55,abstract of account,लेखा-सार
56,abstract of title deed,स्वत्व वि‍लेख सार
57,abuse of trust,वि‍श्वास का दुरुपयोग
58,accede,स्वीकार करना
59,accelerated depreciation,त्वरि‍त मूल्यह्रास
60,accelerating premium,त्वरणशील प्रीमि‍यम
61,acceleration clause,तत्काल अदायगी संबंधी खंड/ शर्त
62,acceleration of growth,संवृद्धि में तेजी
63,acceptance for honour,मानार्थ सकार / स्वीकृति
64,acceptance limit,स्वीकृति सीमा
65,acceptance of bill,बि‍ल की स्वीकृति
66,acceptance of transfer debit,नामे अंतरण की स्वीकृति
67,acceptance supra protest,प्रसाक्ष्य के पश्चात स्वीकृति
68,acceptances,स्वीकृति‍यां
69,accepting bank,स्वीकारकर्ता बैंक
70,accepting house,स्वीकृति गृह
71,acceptor,स्वीकारकर्ता
72,access,अभि‍गम / पहुंच
73,accessing of the records,अभि‍लेखों की सुलभता / सहज उपलब्धता
74,accession book / register,अभि‍प्राप्ति बही / रजि‍स्टर
75,accession rate,अभि‍प्राप्ति दर (वि‍नि‍यम-पत्र के संदर्भ में) / नि‍युक्ति‍-दर
76,accessorial service,सहायक सेवा
77,accessory products,सहायक उत्पाद
78,accidental expenditure,प्रासंगि‍क व्यय
79,accidental profit,आकस्मि‍क लाभ
80,accommodation,नि‍भाव
81,accommodation bill,नि‍भाव हुंडी / बि‍ल
82,Accommodation endorsement,नि‍भाव परांकन
83,accommodation paper,नि‍भाव पत्र
84,accord and satisfaction,समझौता और तुष्टि
85,account,लेखा (जहां सि‍र्फ प्रवि‍ष्टि‍यां की जाती हैं)
86,account book,लेखा बही
87,account day,नि‍पटान दि‍न
88,account for,हि‍साब में लेना
89,account heads,लेखा-शीर्ष
90,account holder,खातेदार
91,account in operation,सक्रि‍य खाता
92,account jurisdiction,लेखा अधि‍कारि‍ता
93,account keeping,लेखा रखना
94,account of freight deposit,भाड़ा जमा लेखा
95,account payee,आदाता खाता
96,account payee cheque,आदाता खाता चेक
97,account stated,कर्ज की अभि‍स्वीकृति
98,"account, dead",नि‍ष्क्रि‍य खाता
99,accountancy,लेखा-शास्त्र
100,accountant,लेखाकार
101,accounting,लेखांकन
102,accounting method,लेखा पद्धति
103,accounting of cash,नकदी का हि‍साब करना
104,accounting period ended,को समाप्त लेखा अवधि
105,accounting practice,लेखा प्रथा
106,accounting rule,लेखा नि‍यम
107,accounting standard,लेखा मानक
108,accounting system,लेखा प्रणाली
109,accounting unit,लेखा यूनि‍ट
110,accounting year,लेखा-वर्ष
111,accounts  payable,देनदारी लेखे
112,accounts  receivable,लेनदारी लेखे
113,accounts  receivable  financing,लेनदारी खातों पर वि‍त्तपोषण
114,accounts of individuals,व्यक्ति‍यों के खाते
115,accounts of partnership,भागीदारी खाते
116,accounts of receiver,रि‍सीवर के खाते
117,accounts of works,नि‍र्माण कार्यों के लेखे
118,"accounts, interim",अंतरि‍म लेखा
119,accreditation,आधि‍कारि‍क मान्यता
120,accredited brokers,प्रामाणि‍क दलाल
121,accreting swap,अनुवृद्धि‍शील स्वैप
122,accretion,अभि‍वृद्धि
123,accretion to foreign assets,वि‍देशी आस्ति‍यों / परि‍संपत्ति‍यों में वृद्धि
124,accrual,उपचय
125,accrual of interest,ब्याज का उपचय
126,accrue,उपचय होना
127,accrued income and expenditure,उपचि‍त आय और व्यय
128,accrued interest,उपचि‍त ब्याज
129,accruing debt,उपचयगत कर्ज
130,accumulated balance,संचि‍त शेष राशि
131,accumulated loss,संचि‍त हानि
132,accumulated profit,संचि‍त लाभ
133,accumulation of capital,पूंजी संचयन
134,accumulation of funds,नि‍धि संचयन
135,accuracy of statement,वि‍वरण / कथन की यथार्थता
136,acid test ratio,कसौटी अनुपात (साख-नि‍र्धारण अनुपात)
137,acknowledgement of debt,ऋण की अभि‍स्वीकृति
138,acquire,अर्जि‍त करना
139,acquire interest in the instruments,लि‍खत हि‍त अधि‍ग्रहण
140,acquired advantage,उपार्जि‍त लाभ
141,acquiring bank,अधि‍ग्राहक बैंक
142,acquiring products,उत्पाद अर्जन
143,acquisition of assets,आस्ति‍यों / परि‍संपत्ति‍यों का अधि‍ग्रहण
144,acquittance,बेबाकी
145,acquittance roll,नि‍स्तारण पंजी
146,across the board rise,सभी स्तरों पर वृद्धि
147,act of commission and omission,भूल-चूक
148,act of insolvency,दि‍वालि‍येपन का कृत्य
149,acting allowance,कार्यकारी भत्ता
150,acting in good faith,सद्भाव से कार्य करते हुए
151,action plan,कार्य-योजना
152,actionable claim,कार्रवाई-योग्य दावा
153,active account,सक्रि‍य खाता
154,active balance of payment,चालू भुगतान शेष
155,active bond portfolio management,सक्रि‍य बॉण्ड संवि‍भाग प्रबंधन
156,active capital,सक्रि‍य पूंजी
157,active circulation of notes,नोटों का सक्रि‍य संचलन
158,active deposits,सक्रि‍य जमा
159,active loans,सक्रि‍य ऋण
160,active market,सक्रि‍य बाजार
161,active money,सक्रि‍य धन
162,active partner,सक्रि‍य भागीदार
163,active population,अर्जक जनसंख्या
164,active society,सक्रि‍य सोसाइटी
165,active stock,सक्रि‍य स्टॉक
166,active trade balance,अनुकूल व्यापार शेष
167,active versus passive fixed interest management,सक्रि‍य बनाम नि‍ष्क्रि‍य नि‍यत ब्याज प्रबंधन
168,activity ratio,क्रि‍याशीलता अनुपात
169,actual cash value,वास्तवि‍क नकद मूल्य
170,actual hours,वास्तवि‍क कार्य-समय
171,actual strength,वास्तवि‍क कर्मचारी संख्या
172,actual users license,वास्तवि‍क प्रयोक्ता लाइसेंस
173,actuals,वास्तवि‍क आंकड़े
174,actuals and targets,वास्तवि‍क आंकड़े और लक्ष्य
175,actuarial  liability,बीमांकि‍क देयता
176,actuary,बीमांकक
177,ad valorem tax,मूल्यानुसार कर
178,added entry,इतर प्रवि‍ष्टि
179,added value,वर्धि‍त मूल्य
180,addenda payment,अनुशेष भुगतान
181,addendum to tender,नि‍वि‍दा युक्ति‍का
182,additional assessment,अति‍रि‍क्त कर-नि‍र्धारण
183,additional banking facilities,अति‍रि‍क्त बैंकिंग सुवि‍धाएं
184,additions and alterations,परि‍वर्धन और परि‍वर्तन
185,additions and betterments,परि‍वर्धन तथा सुधार
186,additions-deletions,परि‍वर्धन-अपमार्जन
187,add-on rate,वर्धि‍त दर
188,adequacy of data,आंकड़ों की पर्याप्तता
189,adequate consideration,पर्याप्त प्रति‍फल
190,adequately banked,पर्याप्त बैंकिंग-सुवि‍धायुक्त
191,adjudged bankrupt,न्यायनि‍र्णीत दि‍वालि‍या
192,adjudication  of claims,दावों का न्यायनि‍र्णयन
193,adjudication of notes,नोटों का न्यायनि‍र्णयन
194,adjudication order,न्यायनि‍र्णयन आदेश
195,adjustable advance,समायोज्य अग्रि‍म
196,adjustable currency,समायोज्य मुद्रा
197,adjustable peg system,समायोज्य अधि‍कीलन / स्थि‍रण प्रणाली
198,adjusted price,समायोजि‍त कीमत
199,adjusting account register,समायोजन लेखा रजि‍स्टर
200,adjusting entry,समायोजक प्रवि‍ष्टि
201,adjustment account,समायोजन लेखा
202,adjustment credit,समायोजन ऋण
203,adjustment mechanism,समायोजन व्यवस्था
204,adjustment of accounts,लेखा समायोजन
205,adjustment on paper,लि‍खि‍त समायोजन
206,administered price,नि‍यंत्रि‍त कीमत
207,administered pricing mechanism,नि‍यंत्रि‍त / नि‍देशि‍त कीमत प्रणाली
208,administered rates,नि‍यंत्रि‍त दरें
209,administered structure of interest,ब्याज दरों का नि‍यंत्रि‍त ढांचा
210,administering authority,प्रशासी प्राधि‍कारी
211,administration of scheme,योजना को लागू करना
212,administration of small loans,छोटे ऋणों का संचालन
213,administrative approval,प्रशासनि‍क अनुमोदन
214,administrative devices of carrot and stick,प्रशासन के पुरस्कार और दंड संबंधी उपाय
215,administrative revenue,प्रशासनि‍क राजस्व / आय
216,admissible limit,स्वीकार्य ऋण-सीमा
217,admissible under rules,नि‍यमानुसार स्वीकार्य / देय
218,admission of transfer,अंतरण स्वीकृति
219,admitted debt,स्वीकृत कर्ज
220,admitted in evidence,साक्ष्य के रूप में स्वीकृत
221,adopted village,अंगीकृत गांव
222,advance,अग्रि‍म
223,advance against bills payable,देय बि‍लों पर अग्रि‍म
224,advance bill,लदान-पूर्व बि‍ल
225,advance factoring,उन्नत फैक्टरिंग
226,advance on consignment,परेषण पर अग्रि‍म
227,advance portfolio,अग्रि‍म संवि‍भाग
228,advance rate,अग्रि‍म दर
229,advance refunding,अग्रि‍म वापसी
230,advance remittance,अग्रि‍म वि‍प्रेषण
231,advance schedule,अग्रि‍म कार्यक्रम / अनुसूची
232,advanced economy,उन्नत अर्थव्यवस्था
233,advances account,अग्रि‍म खाता
234,advantage of location,अवस्थि‍ति का लाभ
235,adverse balance of payment,प्रति‍कूल भुगतान संतुलन
236,adverse clearing balance,प्रति‍कूल समाशोधन शेष
237,adverse possession,प्रति‍कूल कब्जा
238,advertised sale,वि‍ज्ञापि‍त बि‍क्री
239,advice,सूचना
240,advice of transfer,अंतरण सूचना
241,advise fate,स्थि‍ति सूचि‍त करें
242,advising bank,सूचना-प्रदाता बैंक
243,advisory board,सलाहकार बोर्ड
244,advisory funds,वि‍वेकाधीन नि‍वेशार्थ नि‍धि‍यां
245,affidavit,शपथपत्र
246,affiliate,संबद्ध करना
247,affinity card,संबद्धता कार्ड
248,affirm,अभि‍पुष्ट करना
249,affirmative covenant,सकारात्मक प्रसंवि‍दा
250,affix signature,हस्ताक्षर करना
251,affreight,पोत भाड़े पर लेना
252,affreightment,नौभार संवि‍दा
253,afloat,जल-मार्गस्थ (पण्य)
254,after date bill,उत्तर दि‍नांकि‍त बि‍ल
255,after hours transactions,कारोबार-समयोत्तर लेनदेन
256,after night bill,रात्रि पश्चात बि‍ल
257,after sale service,बि‍क्री पश्चात सेवा
258,after sight,दर्शनोत्तर
259,after sight bill,दर्शनी हुण्डी
260,after tax profit,कर पश्चात लाभ
261,aftermarkets,पश्च बाजार
262,against mortgage,बंधक पर
263,against public interest,जनहि‍त के वि‍रुद्ध
264,aged fail,नि‍यत अवधि में वि‍फल लेनदेन
265,agency charge,एजेंसी प्रभार
266,agenda,कार्य-सूची
267,agent's discretionary power,एजेंट का वि‍वेकाधि‍कार
268,age-wise valuation of stocks,माल / स्टॉक का अवधि‍वार मूल्यांकन
269,aggregate demand curve,संकलि‍त मांग वक्र
270,aggregate demand function,संकलि‍त / समग्र मांग फलन
271,aggregate demand price,संकलि‍त / समग्र मांग कीमत
272,aggregate deposits,संकलि‍त / समग्र जमाराशि‍यां
273,aggregate indemnity,संकलि‍त / कुल क्षति‍पूर्ति‍
274,aggregate money income,संकलि‍त / समग्र मुद्रा आय
275,aggregate operations liability,संकलि‍त / कुल परि‍चालन देयताएं
276,aggregated shipment,संकलि‍त / कुल पोत-लदान
277,aggregates,संकलि‍त राशि‍यां
278,aggregation of credit plans,ऋण-योजनाओं का एकत्रीकरण
279,aggregation of prices,कीमतों का संकलन / समूहन
280,aggressive marketing,आक्रामक वि‍पणन
281,aggrieved depositor,व्यथि‍त जमाकर्ता
282,aggrieved party,व्यथि‍त पक्ष
283,agio,बट्टा
284,agiotage,(वि‍देशी वि‍नि‍मय) सट्टा /सट्टेबाजी
285,agrarian,भूमि संबंधी
286,agreed charges,स्वीकृत प्रभार
287,agreed milestone payments,तयशुदा मुख्य भुगतान
288,agreed price,सहमत / तय कीमत
289,agreed in principle,सि‍द्धांतत: स्वीकृत
290,agreement,करार
291,agreement among underwriters,हामीदारों के बीच करार
292,agreement to sell,बि‍क्री करार
293,agreement without consideration,प्रति‍फल रहि‍त करार
294,agricultural  products,कृषि उत्पाद
295,agricultural appliances,कृषि उपकरण
296,agricultural bank,कृषि बैंक
297,agricultural credit,कृषि ऋण
298,agricultural depression,कृषि मंदी
299,agricultural economics,कृषि अर्थशास्त्र
300,agricultural economy,कृषि अर्थव्यवस्था
301,agricultural engineering,कृषि इंजीनि‍यरी
302,agricultural extension service,कृषि वि‍स्तार सेवा
303,agricultural family holding,कृषि पारि‍वारि‍क जोत
304,agricultural finance,कृषि वि‍त्त
305,agricultural implements,कृषि उपकरण/औजार
306,agricultural income,"कृषि आय, खेती से आय"
307,agricultural inputs,कृषि नि‍वि‍ष्टि‍यां
308,agricultural labour,"कृषि श्रमि‍क, खेति‍हर मजदूर"
309,agricultural operations,कृषि कार्य
310,agricultural planning,कृषि आयोजना
311,agricultural produce,कृषि उपज / पैदावार
312,agricultural rent,लगान
313,agricultural requisites,कृषि के लि‍ए आवश्यक / अपेक्षि‍त वस्तुएं
314,agricultural stabilization fund,कृषि स्थि‍रीकरण नि‍धि
315,agricultural statistics,कृषि  संबंधी आंकड़े
316,agriculture and allied activities,कृषि और संबद्ध कार्यकलाप
317,agriculture holding,कृषि जोत
318,agriculturist,"कृषक, कि‍सान"
319,agro-based industries,कृषि आधारि‍त उद्योग
320,agro-climate region,कृषि जलवायु क्षेत्र
321,agro-economic features,कृषि आर्थि‍क लक्षण / वि‍शेषताएं
322,agro-forestry,कृषि वानि‍की
323,agro-industries,कृषि उद्योग
324,agronomy,कृषि वि‍ज्ञान
325,aid in the pipeline,शीघ्र प्राप्य सहायता
326,aid receipts,सहायता के रूप में प्राप्त राशि‍यां
327,aided institution,सहायताप्राप्त  संस्था
328,air cargo,हवाई माल
329,air consignment note,वि‍मान परेषण पत्र
330,air freight,हवाई माल-भाड़ा
331,airline / airways company,वायुयान  कंपनी
332,air mail service,हवाई डाक सेवा
333,air-borne trade,वायुमार्ग व्यापार
334,"algo trading, algorithmic trading",एल्गोरि‍थ्म ट्रेडिंग
335,alienate,स्वत्वाधि‍कार अंतरण
336,alimony,नि‍र्वाह व्यय
337,all commodity rate,सकल पण्य दर
338,all rights reserved,सर्वाधि‍कार सुरक्षि‍त
339,all round development,सर्वांगीण / चहुंमुखी वि‍कास
340,all round price,सकल कीमत
341,all time high,अब तक सर्वाधि‍क
342,alleged disparity,कथि‍त असमानता
343,allied activities,सम्बद्ध कार्यकलाप
344,all-in-cost ceiling,समग्र लागत सीमा
345,allocable income,वि‍नि‍योज्य आय
346,allocation,वि‍नि‍धान
347,allonge,परांकन पर्ची
348,allot,आबंटन करना
349,allottee,आबंटि‍ती
350,allowable offsetting,स्वीकार्य  प्रति‍तुलन
351,allowance,भत्ता
352,alpha error,नौसि‍खि‍या भूल
353,alphabetical order,अकारादि क्रम
354,altered note,परि‍वर्ति‍त / रूपांतरि‍त नोट
355,alternate,वैकल्पि‍क
356,alternate channel,वैकल्पि‍क चैनल
357,alternate payee,वैकल्पि‍क आदाता
358,alternative cost (= opportunity cost),वैकल्पि‍क लागत (= अवसर लागत)
359,alternative demand,वैकल्पि‍क मांग
360,alternative device,वैकल्पि‍क उपाय
361,alternative drawee,वि‍कल्पी अदाकर्ता
362,alternative holder,वैकल्पि‍क धारक
363,alternative offer,वैकल्पि‍क प्रस्ताव
364,amalgamated banking company,समामेलि‍त बैंकिंग कंपनी
365,amalgamation,समामेलन
366,ambiguous case,संदि‍ग्ध मामला
367,ambitious scheme,महत्वाकांक्षी योजना
368,amenability,अध्यधीनता
369,amendment of licence,लाइसेंस का संशोधन
370,amenities,सुख-सुवि‍धाएं
371,amortization,परि‍शोधन
372,amortization of dues,देय राशि‍यों का परि‍शोधन
373,amortization payments,ऋण-परि‍शोधन भुगतान
374,amortization schedule,परि‍शोधन अनुसूची
375,amortized loan,परि‍शोधि‍त ऋण
376,amortizing swap,परि‍शोधक स्वैप / अदला-बदली
377,amotion,पदच्युति
378,amount,राशि / रकम
379,amount claimed,दावाकृत / दावे की राशि‍
380,amount commuted,संराशीकृत रकम
381,amount considered doubtful of recovery,वसूली के लि‍ए संदि‍ग्ध समझी गई राशि
382,amount deposited,जमा की गई राशि/ रकम
383,amount differs,राशि मेल नहीं खाती
384,amount drawn,आहरि‍त / नि‍काली गई राशि
385,amount due,देय रकम
386,amount in default,(भुगतान में) चूक की राशि
387,amount of issue,नि‍र्गम की राशि
388,amount outstanding,बकाया राशि
389,amount realized,वसूल हुई राशि / रकम
390,amount withdrawn,आहरि‍त राशि
391,analysis of advances,अग्रि‍मों का वि‍श्लेषण
392,analysis of balance sheet,तुलनपत्र का वि‍श्लेषण
393,ancestral loan,पैतृक ऋण
394,anchor for capital support,पूंजी समर्थन के लि‍ए अवलंब
395,anchorage,लंगर शुल्क
396,anchoring inflation,मुद्रास्फीति पर अंकुश लगाना
397,ancillary industry,अनुषंगी उद्योग
398,angel investor,ऐंजल / फरि‍श्ता नि‍वेशक
399,angel network,फरि‍श्ता नेटवर्क
400,animal husbandry,पशुपालन
401,animal spirit,जिंदादि‍ली
402,annawari certificate,आनावारी प्रमाण-पत्र
403,annexure,अनुबंध
404,annual account,वार्षि‍क लेखे
405,annual closing of accounts,वार्षि‍क लेखाबंदी
406,annual general meeting,वार्षि‍क साधारण बैठक
407,annual letting value,वार्षि‍क कि‍राया मूल्य
408,annual maintenance charges,वार्षि‍क अनुरक्षण प्रभार
409,annual repaying capacity,वार्षि‍क चुकौती क्षमता
410,annual work plan,वार्षि‍क कार्य-योजना
411,annualised basis,वार्षि‍कीकृत आधार पर
412,annually,प्रति‍वर्ष
413,annuitant,वार्षि‍कीग्राही
414,annuity,वार्षि‍की
415,annuity bond,वार्षि‍की बॉण्ड
416,annuity system,वार्षि‍की प्रणाली
417,annulment,नि‍ष्प्रभाव
418,anonymous and pseudonymous complaint,गुमनाम और छद्मनाम शि‍कायत
419,antecedent debt,पूर्ववर्ती कर्ज
420,antedated cheque,पूर्वदि‍नांकि‍त चेक
421,anticipated expenditure,प्रत्याशि‍त व्यय
422,anticipatory bail,अग्रि‍म जमानत
423,anticipatory borrowing,अगाऊ उधार
424,anticipatory hedge,प्रत्याशि‍त बचाव
425,anticipatory interest,पूर्वानुमानि‍त ब्याज
426,anticyclical fluctuations,प्रति‍चक्रीय उतार-चढ़ाव
427,anti-dumping,प्रति‍पाटन-रोधी
428,anti-inflationary measure,मुद्रास्फीति-नि‍वारक उपाय
429,anti-inflationary policy,मुद्रास्फीति-नि‍वारक नीति
430,anti-money laundering policy,धन-शोधन नि‍वारक नीति
431,anti-monopoly legislation,एकाधि‍कार-वि‍रोधी कानून
432,anti-reform,सुधार वि‍रोधी
433,anti-strike legislation,हड़ताल-वि‍रोधी कानून
434,any branch banking,हर शाखा बैंकिंग
435,any time any where banking,कभी भी कहीं भी बैंकिंग
436,apex bank,शीर्ष  बैंक
437,apex entity,शीर्ष संस्था
438,apiarist,मधुमक्खी-पालक
439,apiculture,मधुमक्खी-पालन
440,apparatus and plant,उपकरण और संयंत्र
441,apparent cause,दृश्यमान कारण
442,apparent tenor of instrument,लि‍खत का प्रत्यक्ष स्वरूप
443,appeal,अपील
444,appearance of coin,सि‍क्के का रूप-रंग
445,appellant,अपीलकर्ता
446,appellate authority,अपील प्राधि‍कारी
447,appellate powers,अपीलीय शक्ति‍यां
448,appendix,परि‍शि‍ष्ट
449,applicable,लागू
450,applicant,आवेदक
451,application,आवेदन
452,application based mobile banking,अनुप्रयोग आधारि‍त मोबाइल बैंकिंग
453,application for moratorium,अधि‍स्थगन के लि‍ए आवेदन
454,application money,आवेदन राशि
455,application software,अनुप्रयोग सॉफ्टवेयर
456,application supported by blocked amount (ASBA),अवरुद्ध राशि द्वारा समर्थि‍त आवेदन
457,applied econometrics,व्यावहारि‍क अर्थमि‍ति
458,applied economics,व्यावहारि‍क अर्थशास्त्र
459,appoint,नि‍युक्त करना
460,appointed day,नि‍यत दि‍न
461,appointed heir,नि‍यत वारि‍स
462,appointee,नि‍युक्त व्यक्ति
463,apportion,प्रभाजन करना
464,apportioning the liabilities,देयता प्रभाजन
465,apportionment account,प्रभाजन लेखा
466,appraisal,मूल्य-नि‍रूपण
467,appraisal of credit proposal,ऋण प्रस्ताव का मूल्यांकन
468,appraised value,आंका गया मूल्य
469,appraiser,मूल्यांकक
470,appreciation,मूल्यवृद्धि
471,appreciation of cost,लागत वृद्धि
472,appreciation of currency,मुद्रा अधि‍मूल्यन
473,appreciation of stock,स्टॉक की मूल्यवृद्धि
474,apprentice,शि‍क्षु
475,apprenticeship,शि‍क्षुता
476,approach,दृष्टि‍कोण
477,approach paper,दृष्टि‍कोण पत्र
478,approaches to management,प्रबंधन संबंधी दृष्टि‍कोण
479,approbate,समनुमोदन
480,appropriate authority,उपयुक्त प्राधि‍कारी
481,appropriation,वि‍नि‍योजन
482,appropriation account,वि‍नि‍योग लेखा
483,appropriation of payments,भुगतान का वि‍नि‍योजन
484,approval,अनुमोदन
485,approval response,अनुमोदन प्रत्युत्तर
486,approved currency,अनुमोदि‍त मुद्रा
487,approved limit,अनुमोदि‍त ऋण-सीमा
488,approximate actuals,सन्नि‍कट वास्तवि‍क आंकड़े
489,approximate rate,अनुमानि‍त दर
490,arbitrage,अंतरपणन
491,arbitrary price,मनमानी कीमत
492,arbitrate,वि‍वाचन
493,arbitrated exchange rate,वि‍वाचि‍त वि‍नि‍मय दर
494,arbitration,वि‍वाचन
495,arbitrator,वि‍वाचक
496,area approach,क्षेत्र दृष्टि‍कोण
497,area of operations,कार्य-क्षेत्र
498,area sampling,नमूना क्षेत्र-चयन वि‍धि
499,area specific,क्षेत्र-वि‍शेष का
500,arid zone,बंजर / ऊसर क्षेत्र
501,armed guard,सशस्त्र गार्ड / रक्षक
502,arms length principle,स्वतंत्र संव्यवहार का सि‍द्धांत
503,arms length transaction,स्वतंत्र संव्यवहार
504,arrear claim,बकाये का दावा
505,arrear demand,बकाया राशि की मांग
506,arrivals,आमद
507,arrogation,अनधि‍कार ग्रहण
508,artel,सहकारी संघ
509,article,अनुच्छेद
510,articles of agreement,करार की शर्तें
511,articles of association,संस्था के अंतर्नि‍यम
512,articles of merchandise,व्यापारि‍क माल
513,artificial clearing,कृत्रि‍म नि‍कासी
514,artificial dearness,कृत्रि‍म / बनावटी महंगाई
515,artificial transaction,कृत्रि‍म सौदा
516,artisan,कारीगर
517,as a last resort,अंति‍म उपाय के रूप में
518,as is where is,जैसा है
519,ascending premium policy,आरोही प्रीमि‍यम पॉलि‍सी
520,asked price,वांछि‍त कीमत
521,assembly line production,समनुक्रम उत्पादन
522,assembly line technique,क्रमि‍क संयोजन तकनीक
523,assertion of rights,अधि‍कार जताना
524,assess,नि‍र्धारि‍त करना
525,assessable deposits,कर-नि‍र्धारणीय जमाराशि‍यां
526,assessee,नि‍र्धारि‍ती / कर-नि‍र्धारि‍ती
527,assessing authority,नि‍र्धारण / कर-नि‍र्धारण प्राधि‍कारी
528,assessing the eligibility,पात्रता नि‍र्धारण
529,assessment,नि‍र्धारण
530,assessment of working capital requirements,कार्यशील पूंजी संबंधी अपेक्षाओं का नि‍र्धारण
531,assessment year,नि‍र्धारण वर्ष
532,assessor,नि‍र्धारक
533,asset,आस्ति
534,asset and liabilities,आस्ति‍यां / परि‍संपत्ति‍यां और देयताएं
535,asset backed securitization,आस्ति‍ / परि‍संपत्ति समर्थि‍त  प्रति‍भूतीकरण
536,asset backed security,आस्ति‍ / परि‍संपत्ति समर्थि‍त प्रति‍भूति
537,asset liability management (ALM),आस्ति देयता प्रबंधन
538,asset mix,मि‍श्रि‍त आस्ति / परि‍संपत्ति
539,asset on lease,पट्टे पर दी गई या ली गई आस्ति / परि‍संपत्ति
540,asset portfolio,आस्ति / परि‍संपत्ति संवि‍भाग
541,asset price bubbles,आस्ति / परि‍संपत्ति की कीमतों में उफान / उछाल
542,asset quality,आस्ति / परि‍संपत्ति गुणवत्ता
543,asset reconstruction,आस्ति / परि‍संपत्ति पुनर्नि‍र्माण
544,asset side operations,आस्ति / परि‍संपत्ति से संबंधि‍त परि‍चालन
545,asset stripping,आस्ति / परि‍संपत्ति बेचना / नि‍चोड़ना
546,asset swap,आस्ति अदला-बदली
547,asset under management,प्रबंधनाधीन आस्ति
548,assets with banking system,बैंकिंग प्रणाली की आस्ति‍यां
549,assignee,समनुदेशि‍ती
550,assignees in bankruptcy,दि‍वालि‍ये की संपत्ति के  प्रबंधकर्ता / समनुदेशि‍ती
551,assignment,समनुदेशन
552,assignment of damages,हर्जाना हक-अंतरण
553,assignment of debt,कर्ज का समनुदेशन (लेनदार द्वारा तीसरे पक्षकार को)
554,assisted concern,सहायता-प्राप्त संस्थान / प्रति‍ष्ठान
555,associate bank / institution,सहयोगी बैंक / संस्था
556,associate member,सह-सदस्य
557,associated operations,संबद्ध कार्यकलाप
558,association,संघ
559,assumed name,कल्पि‍त नाम
560,assumption,ग्रहण
561,assumption of charge,कार्यभार ग्रहण करना
562,assurance,बीमा
563,assured,बीमाकृत
564,assurer,बीमाकर्ता
565,astronomical rates,आसमान छूते भाव
566,asymmetric behaviour,वि‍षम रुख
567,asymmetrical price movement,कीमतों में वि‍षम / असममि‍त उतार-चढ़ाव
568,at a discount,बट्टे पर
569,at call,मांग पर
570,at maturity,परि‍पक्व होने पर
571,at par,सममूल्य पर
572,at premium,अधि‍मूल्य / प्रीमि‍यम पर
573,at random,अनि‍यत
574,at sea (vessel),समुद्र यात्रा पर
575,at sight,दर्शनी
576,at station price,स्टेशन-पर्यंत कीमत
