Abelian group,आबेली समूह,आबेल गट
astronomer,खगोलज्ञ*,"खगोलशास्त्रज्ञ, खगोली"
astronomical clock,खगोलीय घड़ी,खगोलीय घडयाळ
astronomy,खगोलिकी,खगोलशास्त्र
asymmetrical curve,असममित वक्र,असममित वक्र
asymmetry,असममिति,असममित
asymptote,अनंतस्पर्शी,अंनतोपगा
asymptotic,उपगामी,अपगामी
asymptotically efficient estimator,उपगामी दक्ष आकलक,अपगामिक कार्यक्षम आकलक
asymptotically unbiased estimator,उपगामी अनभिनत आकलक,अपगामिक आकलक नि:पसपाती
asymptotic behavior,उपगामी आचरण,अपगामी आचरण
asymptotic distribution function,उपगामी बंटन-फलन,अपगामी वितरण फल
asymptotic expansion,उपगामी प्रसार,अपगामी विस्तार
atmospheric pressure,वायु मंडलीय दाब,वातावरणीय दाब
at random,"यदृच्छया,",यदृच्छ यादृच्छिक
attribute,गुण*,गुणविशेष
attributes sampling procedure,गुण-प्रतिचयन-क्रियाविधि,गुणविशेष निवड प्रक्रिया
augmented matrix,संवर्धित आव्यूह,संवर्धित सारणी
autocorrelation coefficient,स्वसहसंबंध गुणांक,स्वसहसंबंध गुणांक
autocorrelation function,स्वसहसंबंध फलन,स्वसहसंबंध फल
autocovariance,स्वसहप्रसरण,स्वसहविचरण
automatic computer,स्वचालित अभिकलित्र,स्वयंचलित संगणक
autoregression,स्वसमाश्रयण,स्वप्रतिगमन
auxiliary equation,सहायक समीकरण,साह्यकारी समीकरण
average sample number curve (A.S.N. Curve),माध्य प्रतिदर्श संख्या वक्र (मा.प्र.सं. वक्र),सरासरी नमुनाक्रमांक वक्र
axiom,1. स्वयंसिद्‌ध 2. अभिगृहीत,"गृहीतक, स्वयंसिद्‌ध तत्व"
axiomatic approach,अभिगहीती दृष्टिकोण,स्वयंसिद्‌ध दृष्टिकोन
axiom of probability,प्रायिकता अभिगृहीत,संभाव्यता स्वयंसिद्‌ध तत्व
axis,अक्ष,अक्ष
axis of abscissa,भुजाक्ष,भुजाक्ष
axis of earth,भू-अक्ष,भू-अक्ष
axis of revolution,परिक्रमण-अक्ष,परिक्रमण अक्ष
axis of rotation,घूर्णन अक्ष,घूर्णन अक्ष
axis of spin,प्रचक्रण-अक्ष,फिरकी अक्ष
back-substitution,पश्च-प्रतिस्थापन,पश्च-प्रतिस्थापन
backward difference,पश्चांतर,पश्चांतर
backward-interpolation formula,पश्च अंतर्वेशन-सूत्र,पश्च अंतर्वेश्न सूत्र
balance,"1.तुला, तराजू 2. संतु लन 3. शेष, बाकी 4. संतुलित होना, संतुलित करना",1. समतोल 2. संतुलन
balanced design,संतुलित अभिकल्पना,संतुलित अभिकल्पना
balance sheet,तुलन-पत्र,आढावा पत्रक
ballistic missile,प्रक्षेपास्त्र,प्रक्षेपणास्त्र
ballistics,"प्राक्षेपिकी, अस्त्र विज्ञान","प्रक्षेपण विज्ञान, प्रक्षेपिकी"
bar,"1. स्तंभ, शलाका, सिल, सिल्ली, दंड, छड़, पट्टी 2. रोधिका, भित्ति 3. बार 4. रेखा, रेखिका 5. परीक्षण रेखा, धार","दंडिका, स्तंभ"
base,1.आधार 2. क्षारक 3. अधम 4. मूल 5. बेस,पाया
base angle,आधार कोण,तळकोन
base of logarithm,"लघुगणक का आधार, लॉगरिथ्म का आधार",लॉगेरिथम पाया
basic,"आधारी, मूल,",आधारभूत पायाभूत
basic feasible solution,आधारी सुसंगत हल,पायाभूत शक्य उकल
basic solution,आधारी हल,पायाभूत उकल
basic variable,आधारी चर,पायाभूत चल
basis,आधारक,पायाधार
basis element,आधार अवयव,पायाधार घटक
basis matrix,आधारी आव्यूह,पायाधार सारणी
basis of a vector space,सदिश समष्टि का आधार,सदिश-अवकाश पायाधार
basis of subspace,उपसमष्टि का आधार,उप-अवकाश पायाधार
Bayesian estimate,बेज़-आकल,बेजचे पुर्वगणन
Bayes' law,बेज़-नियम,बेज-नियम
Bayes' theorem,बेज़-प्रमेय,बेज-प्रमेय
Bernoulli distribution,बर्नूली-बंटन,बर्नोली वितरण
Bernoulli number,बर्नूली संख्या,बर्नोली संख्या
Bernoulli probability function,बर्नूली प्रायिकता-फलन,बर्नोली संभाव्यता फल
Bernoulli's equation,बर्नूली-समीकरण,बर्नोली समीकरण
Berry function,बेरी फलन,बेरी फल
best fit,श्रेष्ठतम आसंजन,सुयोग्य
best - fit line,श्रेष्ठतम आसंजन रेखा,सुयोग्य रेषा
best solution,सर्वोत्तम हल,सर्वोत्तम उकल
best strategies,सर्वोत्तम युक्तियाँ,सर्वोत्तम कृतीयोजना
beta distribution,बीटा बंटन,बीटा वितरण
bias,"अभिनति, बायस",पक्षपात
biased estimate,अभिनत आकल,पक्षपाती पुर्वगणन
biharmonic equation,द्विप्रसंवादी समीकरण,द्वि-आवर्ती समीकरण
bijection,एकैकी आच्छादन,एकैकाच्छापन
bijective map,एकैकी आच्छादी प्रतिचित्र,एकैकाच्छापन प्रतिचित्र
bijective mapping,एकैकी आच्छादी प्रतिचित्रण,एकैकाच्छापन प्रतिचित्रण
bilinear form,द्विएकघाती समघात,द्वैकधाती रूप
bilinear function,द्विरैखिक फलन,द्वैकरेषीय फल
bilinear Hermitian form,द्विरैखिक हर्मिटीय समघात,द्वैकधाती हरमाइट रूप
binary,"द्वि-चर, द्वि-आधारी, द्वयी",द्विमान
binary code,"द्वि-आधारी कोड, द्विआधारी कूट",द्विमान संकेत
binary coded decimal,"द्वि-आधारी कूट दशमलव, द्वि-आधारी कोडित दशमलव",द्विमान संकेत दशमान
binary coding,द्वि-आधारी कूटलेखन,द्विमान संके तन
binary computer,द्वि-आधारी अभिकलित्र,द्विमान संगणक
binary digit,द्वि-आधारी अंक,द्विमान अंक
binary operation,द्विआधारी संक्रिया,द्विमान क्रिया
binary system,द्विआधारी पद्‌धति,द्विमान पद्‌धती
binary variable,द्विआधारी चर,द्विमान चल
binomial coefficient,द्विपद गुणांक,द्विपद सहगुणक
binomial distribution,द्विपद बंटन,द्विपद वितरण
binomial equation,द्विपद समीकरण,द्विपद समीकरण
binomial expansion,द्विपद प्रसरण,द्विपद विस्तार
binomial expression,द्विपद व्यंजक,द्विपद राशी
binomial random variable,द्विपद यादृच्छिक चर,द्विपद यादृच्छिक चल
binomial theorem,द्विपद-प्रमेय,द्विपद प्रमेय
bisection,"अर्धन, द्विभाजन",दुभाजन
bisection method,"समद्विभाजन विधि, अर्धीकरण विधि",दुभाजन पद्‌धती
bisector,"अर्धक, द्विभाजक",दुभाजक
biserial,"द्विपंक्तिक, द्विश्रेणिक",द्विपक्ती
bit,"1.द्वयंक (द्विआधारी अंक) 2. अणी, बरमी 3. टूक","अंश, लहान भाग"
bivariate binomial distribution,द्विचर द्विपद-बंटन द्विचल,द्विपद वितरण
bivariate correlation coefficient,द्विचर सहसंबंध गुणांक,द्विचल सहसंबंध गुणांक
bivariate distribution,द्विचर बंटन,द्विचल वितरण
bivariate normal distribution,द्विचर प्रसामान्य-बंटन,द्विचल प्रसामान्य वितरण
bivector,द्विसदिश,द्विसदिश
Boltzmann equation,बोल्ट्मान समीकरण,बोल्जमन समीकरण
Boolean algebra,बूलीय बीजावली*,बूलीय बीजगणित
Bose - Einstein statistics,बोस-आइन्स्टाइन सांख्यिकी,बोस-आइनस्टाईन सांख्यिकी
boundary condition,परिसीमा प्रतिबन्ध,परिसीमाबंध
boundary layer,परिसीमा स्तर,परिसीमा स्तर
boundary line,परिसीमा रेखा,परिसीमा रेषा
boundary value,परिसीमा मान,परिसीमा मूल्य
boundary value problem,परिसीमा मान समस्या,परिसीमामूल्य समस्या
bounded function,"परिबद्‌ध फलन परिबद्‌ध फल,",मर्यादायुक्त फल
bounded matrix,"परिबद्‌ध मैट्रिक्स, परिबद्‌ध आव्यूह परिबद्‌ध सारणी,",मर्यादायुक्त सारणी
bounded region,"परिबद्‌ध प्रदेश परिबद्‌ध प्रदेश,",मर्यादायुक्त प्रदेश
bounded set,"परिबद्‌ध समच्चय परिबद्‌ध संच,",मर्यादायुक्त संच
Brownian motion,ब्राउनी गति,ब्राउनी गति
calculate,परिकलन करना,परिगणन करणे
calculating,परिकलन,परिगणन
calculating machine,"परिकलन-यंत्र, परिकलित्र",परिगणन यंत्र
calculation,परिकलन*,परिगणना
calculational procedure,परिकलनात्मक क्रिया विधि,परिगणन प्रक्रिया
calculator,1. परिकलित्र 2. परिकलक,परिगणक
calculus,"कलन, कैलकुलस",कलन
calculus of variation,विचरण-कलन,विचरण-कलन
calorie,कैलोरी,कॅलरी
cancellation law,निरसन नियम,लोप नियम
canonical equation,विहित समीकरण,प्रमाणभूत समीकरण
canonical form,विहित रूप,प्रमाणभूत रूप
canonical matrix,"विहित मैट्रिक्स, के नानिकल मैट्रिक्स",प्रमाणभूत सारणी
Cantor set,कैन्टर समुच्चय,कँटर संच
Cantor's ternary set,कैन्टर त्रिआधारी समुच्चय,कँटर त्रिमान संच
capacitated transportation problem,परिबंधित परिवहन समस्या,परिबंधित परिवहन समस्या
capacity,क्षमता,क्षमता
capillary force,केशिका-बल,केशिका-बल
cardinal number,"गणन संख्या, कार्डिनल संख्या",संख्यादर्शकांक
Cartesian axes,कार्तीय अक्ष,कार्टेशी अक्ष
Cartesian coordinates,कार्तीय निर्देशांक,कार्टेशी निर्देशक
Cartesian product,कार्तीय गुणन,कार्टेशी गुणाकार
Cartesian product of sets,समुच्चयों का कार्तीय गुणन,संचाचा कार्टेजी गुणाकार
case study,"केस अध्ययन, वस्तुस्थिति अध्ययन",व्यष्टीगत अभ्यास
catastrophic fluctuation,विपत्तिपूर्ण उच्चावचन,आपत्तिमय चढ-उतार
Catenary,कैटिनरी,रज्जुका
Cauchy distribution,कौशी बंटन,कॉशी वितरण
Cauchy formula,कौशी सूत्र,कॉशी सूत्र
Cauchy Goursat theorem,कौशी-गूर्सा-प्रमेय,कॉशी-गूर्सा-प्रमेय
Cauchy Riemann conditions,कौशी-रीमान-प्रतिबंध,कॉशी-रीमन अटी
Cauchy sequence,कौशी अनुक्रम,कॉशी क्रमिका
Cauchy integral,कौशी समाकल,कॉशी समाकल
Cauchy principal value,कौशी मुख्य-मान,कॉशी प्रधानमूल्य
Cauchy residue theorem,कौशी अवशेष प्रमेय,कॉशी अवशेष प्रमेय
Cayley Hamilton theorem,कैले-हैमिल्टन-प्रमेय,केली-हॅमिल्टन प्रमेय
celestial body,"खपिंड, खगोलीय पिंड",खगोलीय पिंड
celestial measurement,खगोलीय माप,खगोलीय माप
celestial mechanics,खगोलीय यांत्रिकी,खगोलीय यांत्रिकी
celestial object,खगोलीय पिंड,खगोलीय वस्तु
cell frequency,कोशिका बारंबारता,कोशिका वारंवारता
census,1.गणना 2. जनगणना,"जनगणना, खानेसुमारी"
centile,शततमक,शतकांक
centimeter,सेन्टीमीटर,सटिेंमीटर
centimeter gram second system,सेन्टीमीटर-ग्राम-सेकंड पद्‌धति,सटिें मीटर- ग्रॅम सेकंद पद्‌धती
central,1.केन्द्रीय 2. सकेन्द्र,"केंद्रीय, मध्यवर्ती, केंद्रवर्ती"
central axis,केन्द्रीय अक्ष,केंद्रीय अक्ष
central difference,केन्द्रीय अंतर,केंद्रीय अंतर
central difference formula,केन्द्रीय अंतर सूत्र,केंद्रीय अंतर सूत्र
central difference table,केन्द्रीय अंतर सारणी,केंद्रीय अंतर सारणी
central limit theorem,केन्द्रीय सीमा प्रमेय,केंद्रीय सीमा प्रमेय
central moment,केन्द्रीय आघूर्ण,केंद्रीय आघूर्ण
central processing unit (C.P.U),केन्द्रीय संसाधन एकक,केंद्रीय संस्करण कक्ष
central tendency,केन्द्रीय प्रवतिृ,केंद्रीय प्रवतृ्
centre,केन्द्र*,केंद्र
centre of gravity,गुरुत्व-केन्द्र,"गुरुत्वकेंद्र, गुरुत्व मध्य"
centre of group,समूह-केन्द्र,गटकेंद्र
centre of mass,संहति-केन्द्र,वस्तुमानकेंद्र
centre of symmetry,सममिति-केन्द्र,समरूपता केंद्र
centrifugal force,अपकेन्द्री बल,अपकेंद्री बल
centripetal force,अभिकेन्द्र-बल,अभिकेंद्री बल
centroid,"केन्द्रक मध्यगासंपात,",प्रकेंद्र
certainty,निश्चितता,निश्चितता
c.g.s. system,c.g.s.पद्‌धति,सी.जी.एस. पद्‌धती
c.g.s. unit,c.g.s.मात्रक,सी.जी.एस. एकक
chain rule of differentiation,अवकलन का शृंखला नियम,विकलन शंखला नियम
chance causes,संयोग हेतु,संयोग हेतु
chance moves,सांयोगिक चाल,संयोग खेळी
change of axes,अक्ष-परिवर्तन,"अक्ष-परिवर्तन, अक्ष-बदल"
change of basis,"आधार परिवर्तन पायाधार-बदल,",पायाधार-परिवर्तन
change of order,क्रम परिवर्तन,क्रमबदल
characteristic coefficient,अभिलक्षणिक गुणांक,वैशिष्टपूर्ण गुणांक
determinant,अभिलक्षणिक सारणिक,वैशिष्टपूर्ण निर्धारक
characteristic equation,अभिलक्षण-समीकरण,वैशिष्टपूर्ण समीकरण
characteristic function,"अभिलक्षण-फलन, कैरेक्टेरिस्टिक फलन",वैशिष्टपूर्ण फल
characteristic of logarithm,लघुगणक का पूर्णांश,लॉगपूर्णांक
characteristic polynomial,"अभिलक्षणिक बहुपद,",कैरेक्टेरिस्टिक बहुपदवैशिष्टपूर्ण बहुपदी
characteristic value,अभिलक्षणिक मान,वैशिष्टपूर्ण मुल्य
characteristic vector,अभिलक्षणिक सदिश,वैशिष्टपूर्ण सदिश
character set,संप्रतीक समुदाय,वर्ण संच
chart,"चार्ट, संचित्र तक्ता,","पत्रक, आलेख"
chi-square distribution,काई-वर्ग बंटन,काय-वर्ग वितरण
chi-square formula,काई-वर्गं सूत्र,काय-वर्ग सूत्र
chi-square test,काई-वर्ग परीक्षण,काय-वर्ग चाचणी
chord,जीवा*,जीवा
chord-bisection method,जीवा-द्विभाजन-विधि,जीवा समद्विभाजन पद्‌धती
cipher message (=coded message),बीजलिखित संदेश,सांकेतिक संदेश
cipher (zero),"शून्य, सिफर","सायफर, गुप्तलिपी, शून्य"
circle,वृत्त*,वर्तुळ
circle of convergence,अभिसरण वत्तृ,अभिसरण वर्तुळ
circuit matrix,परिपथ आव्यूह,परिपथ सारणी
circular,"वृत्ताकार, वर्तुल,",वृत्तीय वर्तुळाकार
circular asymptote,वर्तुल अनंतस्पर्शी,वर्तुळाकार अनंतोपगा
circular helix,वृत्तीय कंडुलिनी,वृत्तीय मळसूत्र
circular motion,वर्तुल गति,"वृत्तीय गति, वर्तुळ गति"
circumcentre,परिकेन्द्र,परिकेंद
circumcircle,परिवृत्त*,परिवर्तुळ
circumscribe,"परिगत करना, परितः खींचना","परीसीमित, सीमाबद्‌ध"
circumscribed,परिगत,परीसीमित
circumscribed circle,परिवृत,परीसीमित वर्तुळ
classical deductive technique,चिरप्रतिष्ठित निगमनिक,प्रविधि शास्त्रीय अवगामी तंत्र
classical dynamics,चिरप्रतिष्ठित गतिकी,शास्त्रीय गतिकी
classical optimization,चिरप्रतिष्ठित इष्टतमन,शास्त्रीय इष्टतमन
classical ruin problem,चिरप्रतिष्ठित वित्तनाश समस्या,शास्त्रीय विनाश प्रश्न
classical statistical mechanics,चिरप्रतिष्ठित सांख्यिकीय यांत्रिकी,शास्त्रीय सांख्यिकी यंत्रशास्त्र
classification of errors,त्रुटियों का वर्गीकरण,त्रुटिंचे वर्गीकरण
class interval,वर्ग-अंतराल,वर्गांतराल
class-interval unit,वर्गांतराल एकक,वर्गांतराल एकक
class limit,वर्ग-सीमा,"वर्ग सीमा, वर्गमर्यादा"
clockwise,दक्षिणावर्त,"घड्याळच्या, कातयाप्रमोण"
clopen (= closed and open),संविवृत,संविवृत
closed,"संवृत, बंद",संवृत
closed convex hull,संवृत अवमख समावरक,संवृत बहिर्वक्र आवेष्टक
closed cube,संवृत घन,संवृत घन
closed curve,"बंद वक्र, संवृत वक्र","बंद वक्र, संवृत वक्र"
closed domain,संवृत प्रांत,संवृत अधिक्षेत्र
closed figure,बंद आकृति,बंद आकृति
closed interval,संवृत अंतराल,बंद अंतराल
closed region,"संवृत प्रदेश, बंद प्रदेश",संवृत प्रदेश
closed set,संवृत समच्चय,संवृत संच
closed surface,"बंद पृष्ठ, संवृत पृष्ठ",संवृत पृष्ठभाग
closure,"1. निमीलन, वेष्टन 2. संवरक",संवृति
closure operator,संवरण-संकारक (संवरक),संवृति परिकर्मी
closure point (= contact point),संवरक-बिन्दु,संवृति बिंदू
closure postulate,संवरक-अभिगृहीत,संवृति आधारतत्व
closure set,संवरक समुच्चय,संवृति संच
cluster point,गुच्छ बिन्दु,"पुंज बिंदू, संचय बिंदू"
cluster sampling,गुच्छ प्रतिचयन,"संचय निवड, पुंजनिवड"
cluster set,गुच्छ समुच्चय,पुंज संच
coaxial circles,समाक्ष वृत्त,समाक्ष वर्तुळे
coaxial parabolas,समाक्ष परवलय,समाक्ष अन्वस्ले
coaxial planes,समाक्ष समतल,समाक्ष प्रतले
coaxial triangles,समाक्ष त्रिभुज,समाक्ष त्रिकोण
Cobb - Douglas function,कोब-डगलस फलन,कॉब- डगलास फल
coding,"1. कूटलेखन, कोडन 2. संकेतन","संकेतन, कूटलेखन"
coding of data,सामग्री का संकेतीकरण,सामग्री कूटलेखन
co-domain,सहप्रांत,परिक्ष
coefficient matrix,गुणांक आव्यूह,गुणांक सारणी
coefficient of correlation,सहसंबंध-गुणांक,सहसंबंध गुणांक
coefficient of determination,निर्धारण गुणांक,निर्धारण गुणांक
